Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.9879391,0.93442625,0.0,0.98224044,0.99590164,0.98316497,0.9795667,0.97333336,0.9668783,0.99319726,0.99259263,0.0,0,0
2,0.97283864,0.87603307,0.0,0.9581268,0.99793386,0.9743017,0.9637484,0.95404816,0.93352,0.9954338,0.996,0.0044444446,1,0
3,0.9657161,0.8406593,0.0,0.94716144,0.9958791,0.96856034,0.9575707,0.94307196,0.92250425,0.99546486,0.9954084,0.0057971017,0,0
4,0.96981525,0.8683128,0.0,0.9563102,0.99348426,0.9682329,0.9648078,0.9432624,0.93753564,0.9945615,0.9937142,0.00625,0,0
5,0.97262424,0.87828946,0.0,0.9597589,0.99479175,0.969163,0.9679678,0.94501716,0.9423965,0.994575,0.99496543,0.0068965517,0,0
6,0.971998,0.87123287,0.0,0.95785373,0.99566215,0.9695543,0.96728855,0.94551575,0.9403509,0.994847,0.995815,0.0072992695,0,0
7,0.97228897,0.87323946,0.0,0.9582548,0.9955008,0.96981794,0.9676546,0.9459336,0.9416072,0.99493974,0.99518406,0.00754717,0,0
8,0.969264,0.86652976,0.0,0.95485944,0.9943532,0.96954775,0.9657014,0.94558066,0.9386118,0.99476147,0.99440116,0.0076086954,0,0
9,0.97011304,0.870438,0.0,0.9563867,0.9943735,0.9696131,0.96715665,0.9458345,0.94133866,0.99461806,0.99443084,0.0076555023,0,0
10,0.96996456,0.8686371,0.0,0.95566493,0.99493706,0.96965367,0.9667481,0.94590205,0.9400419,0.9946289,0.9950162,0.007725322,0,0
11,0.9705064,0.87014925,0.0,0.95611936,0.99539804,0.969745,0.96701795,0.94599557,0.94015294,0.9947176,0.9954634,0.007843138,0,0
12,0.97030985,0.86730504,0.0,0.9554264,0.9957821,0.9697857,0.966792,0.9459548,0.93937886,0.99484843,0.99585307,0.007857143,0,0
13,0.9688389,0.8598485,0.0,0.9527778,0.9961069,0.9695775,0.9653103,0.94542277,0.93631136,0.9949989,0.9961629,0.007692308,0,0
14,0.96805364,0.85814774,0.0,0.9514849,0.99638534,0.96929085,0.96426415,0.9447333,0.9341098,0.9951592,0.9964303,0.0077844313,0,0
15,0.9682971,0.85667396,0.0,0.95153177,0.99662656,0.9690296,0.96417713,0.94409215,0.93375075,0.9953203,0.9966532,0.0077562323,0,0
16,0.9699387,0.8646154,0.0,0.9545641,0.9963248,0.9690302,0.9660915,0.94399405,0.9376401,0.99543065,0.9963237,0.007832898,0,0
