Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
1,0.6303218,0.5655004,0.33726606,0.6214402,0.6554109,0.63200784,0.65866417,0.6121759,0.6736567,0.6531676,0.6443245,0.009800896,160
2,0.60364383,0.48256683,0.33582887,0.63411766,0.60342246,0.6166471,0.6134769,0.62150455,0.6437959,0.61186504,0.5858851,0.024532106,401
3,0.53846294,0.37278762,0.37942478,0.59831965,0.5199115,0.5887187,0.57254165,0.6179511,0.6391979,0.5621271,0.5184746,0.019657003,965
4,0.42729408,0.2800691,0.37292627,0.46603277,0.42436635,0.5505216,0.3402257,0.60056907,0.4174591,0.5081738,0.28710824,0.3481538,266
5,0.41363552,0.2853697,0.3495686,0.4423415,0.41650432,0.52973086,0.6229269,0.59172136,0.6536754,0.47949725,0.5949412,0.026056526,519
6,0.40451598,0.2925621,0.3367627,0.42638335,0.41057003,0.51666176,0.6007738,0.5871258,0.63338757,0.46129885,0.5713542,0.025204001,275
7,0.3905212,0.2904953,0.3184739,0.40928182,0.3968206,0.5058352,0.58132935,0.5824546,0.6137131,0.44703025,0.5521919,0.034578767,800
8,0.36890054,0.2792895,0.3076969,0.38578257,0.37446922,0.49374062,0.5574808,0.57406545,0.58515483,0.43313515,0.5323062,0.038238622,837
9,0.34922343,0.26483506,0.30548415,0.36641335,0.35317588,0.48022464,0.5362434,0.56218797,0.5624986,0.41911975,0.51232976,0.040779833,667
10,0.33012846,0.24408334,0.30405504,0.35049385,0.33142218,0.46549174,0.5181022,0.54759085,0.5445838,0.40480083,0.4940767,0.045571476,797
11,0.31115213,0.22732434,0.29300088,0.33204663,0.311411,0.45032108,0.50358814,0.53117555,0.5281046,0.39082974,0.48124695,0.051278535,1094
12,0.31263453,0.23542224,0.27930963,0.33222398,0.31252664,0.43796682,0.49911928,0.5169854,0.5309157,0.37990093,0.47091615,0.048650187,300
13,0.3131942,0.24228926,0.26796675,0.33132467,0.3129524,0.4276421,0.49439692,0.50442475,0.53197074,0.37114683,0.46178076,0.04765676,237
14,0.30795294,0.2413195,0.25814283,0.32521662,0.30749717,0.4181455,0.48819047,0.49233645,0.52837294,0.3633863,0.45368782,0.047708422,505
15,0.2948367,0.23133622,0.25335115,0.31149244,0.29419574,0.40851966,0.48069668,0.4799903,0.52087,0.35557452,0.44627663,0.04885547,786
16,0.2800545,0.21977003,0.2517928,0.29589114,0.27942124,0.398813,0.4738991,0.46768567,0.5135303,0.34762135,0.43994668,0.049901962,927
17,0.2664001,0.20890743,0.25068304,0.2815497,0.26574916,0.3891276,0.4677337,0.4555329,0.5069549,0.33961958,0.43414548,0.05106321,931
18,0.25691864,0.19923823,0.2529547,0.27297008,0.2555498,0.37978676,0.46282232,0.44398686,0.50311905,0.33180767,0.42850193,0.056122378,951
19,0.25307214,0.19085935,0.24455531,0.2747873,0.24975005,0.3710881,0.38075376,0.43392968,0.44914192,0.32414538,0.33043972,0.12011513,1040
20,0.2523665,0.18368135,0.23759623,0.28014806,0.24714307,0.3633595,0.410311,0.4255995,0.52693194,0.31700104,0.3359568,0.12558478,1063
21,0.25393274,0.17935307,0.22976825,0.28395513,0.24864325,0.35675424,0.43410975,0.41858798,0.57668114,0.3108374,0.34805983,0.103773266,1112
22,0.25800264,0.18061337,0.22178365,0.28679657,0.2544259,0.35136512,0.45421878,0.41262037,0.59767467,0.30594614,0.3662986,0.09364107,1161
23,0.26525062,0.18904501,0.21233514,0.29199305,0.2631265,0.34721592,0.45978835,0.40785807,0.57866704,0.30227265,0.38142928,0.08376087,367
24,0.2713184,0.19661133,0.20340587,0.29601723,0.2705666,0.34402826,0.4605672,0.40403756,0.5627651,0.29953945,0.3897828,0.07936825,163
25,0.27272287,0.2002208,0.194926,0.29583713,0.2727433,0.3413354,0.45659438,0.40073967,0.5558945,0.29726923,0.38739377,0.07829394,210
26,0.27025327,0.2001918,0.18731408,0.29221797,0.2705987,0.33879262,0.44891483,0.39762294,0.5498967,0.29512706,0.379267,0.07940771,438
27,0.26439705,0.19601123,0.18083203,0.28529105,0.26521236,0.33606187,0.43125418,0.39414683,0.5193387,0.29289788,0.36871657,0.0790301,615
28,0.25907975,0.19096157,0.17333575,0.2785526,0.2610502,0.33317927,0.41459015,0.39028198,0.49117333,0.29065338,0.3586672,0.077382386,287
29,0.2576955,0.1863309,0.16688257,0.2767012,0.2607391,0.33046442,0.40811768,0.3864676,0.4796934,0.28863776,0.35512844,0.075927176,151
