Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk
30,0.26200497,0.18448436,0.16060777,0.2825038,0.26491544,0.3282784,0.41121078,0.38322797,0.48126006,0.28711072,0.35896242,0.07578035,163
31,0.27057785,0.18787135,0.15440369,0.29329485,0.27239028,0.3268218,0.42030632,0.38085625,0.49093264,0.28621474,0.3674451,0.07587144,193
32,0.2796539,0.19620922,0.14864057,0.30306497,0.28073758,0.32599723,0.43003848,0.3791958,0.50043,0.28588897,0.37700778,0.07619976,184
33,0.28808802,0.20590802,0.14330913,0.31098613,0.28919345,0.3256692,0.43742955,0.3780268,0.5055258,0.28605053,0.38550106,0.07682161,192
34,0.2950176,0.21390337,0.13836272,0.3168178,0.29682645,0.3257007,0.4429624,0.37718287,0.50808936,0.2865844,0.39263445,0.07665965,200
35,0.2993863,0.21773693,0.13377221,0.3198453,0.30255976,0.32593617,0.44580826,0.37648153,0.50870615,0.2873565,0.39675263,0.0766774,214
36,0.29994,0.21692479,0.12978874,0.31920266,0.30455762,0.32616118,0.44506598,0.3757133,0.50778043,0.28815678,0.3961399,0.07737598,240
37,0.2956895,0.21193907,0.12604932,0.31392074,0.3014325,0.3261209,0.43891305,0.3746113,0.503466,0.28874516,0.3890324,0.07831715,263
38,0.28895503,0.20636499,0.12251781,0.3064099,0.295097,0.32569078,0.4296938,0.37306347,0.496696,0.28899354,0.37861958,0.0802406,344
39,0.28141537,0.20069216,0.11906276,0.29827654,0.2876006,0.32486135,0.41908032,0.3710697,0.48876625,0.288887,0.3667858,0.08120726,312
40,0.2740022,0.19520915,0.11562671,0.29036924,0.28011423,0.32367435,0.4086665,0.3686865,0.4812258,0.2884572,0.35512125,0.081348285,188
41,0.26840636,0.19048499,0.11240829,0.28491035,0.27413392,0.32225093,0.39977315,0.36611047,0.47613758,0.28777578,0.34451824,0.08246356,136
42,0.26570126,0.18618879,0.11007217,0.28425214,0.27043396,0.3207611,0.3929748,0.36365083,0.47455716,0.28692105,0.33532774,0.08614558,215
43,0.26502794,0.18212348,0.108996235,0.28680068,0.26861322,0.31932658,0.38797623,0.36148545,0.47465467,0.28597438,0.3280668,0.09033348,289
44,0.26567182,0.17982498,0.10756883,0.28935152,0.26849732,0.31799507,0.38462093,0.35957542,0.47415417,0.28503442,0.3235297,0.09214699,215
45,0.26836076,0.1815274,0.10501173,0.29188392,0.2714126,0.31685486,0.38533664,0.3578847,0.47429234,0.28426516,0.32447907,0.092242286,143
46,0.27059183,0.18426709,0.10252043,0.29331842,0.27418444,0.31586397,0.38665286,0.35632175,0.47386056,0.28365678,0.32655475,0.09257808,278
47,0.2714971,0.18609773,0.10029955,0.2934959,0.2754856,0.31494924,0.3870423,0.35480586,0.472386,0.2831428,0.32781714,0.09313288,434
48,0.27082315,0.18662895,0.09827589,0.29224902,0.27499083,0.3140383,0.38585934,0.35326964,0.46967512,0.2826495,0.3274282,0.09353611,542
49,0.26882362,0.18591711,0.09635064,0.28973958,0.27309105,0.313081,0.3834503,0.35166833,0.46658528,0.28212452,0.32546058,0.094737336,562
50,0.2660811,0.18440208,0.09460547,0.28654987,0.27040872,0.31206053,0.38043776,0.3499976,0.46369457,0.28154337,0.32252762,0.09675443,682
