Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,0
2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0,0
3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0,0
4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36363637,0,0
5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35714287,0,0
6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3529412,0,0
7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0,0
8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3478261,0,0
9,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34615386,0,0
10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37037036,2,0
11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39285713,2,0
12,0.8947368,0.8947368,0.10526316,0.8947368,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41379312,0,0
13,0.8095238,0.8095238,0.1904762,0.8095238,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43333334,0,0
14,0.82608694,0.82608694,0.17391305,0.82608694,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42424244,0,0
15,0.84,0.84,0.16,0.84,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41666666,0,0
16,0.8518519,0.8518519,0.14814815,0.8518519,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41025642,0,0
17,0.86206895,0.86206895,0.13793103,0.86206895,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4047619,0,0
18,0.87096775,0.87096775,0.12903225,0.87096775,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0,0
19,0.8787879,0.8787879,0.121212125,0.8787879,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39583334,0,0
20,0.8857143,0.8857143,0.114285715,0.8857143,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39215687,0,0
21,0.8918919,0.8918919,0.10810811,0.8918919,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888889,0,0
22,0.8974359,0.8974359,0.102564104,0.8974359,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3859649,0,0
23,0.902439,0.902439,0.09756097,0.902439,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38333333,0,0
24,0.90697676,0.90697676,0.093023255,0.90697676,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3809524,0,0
25,0.9111111,0.9111111,0.08888889,0.9111111,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37878788,0,0
26,0.9148936,0.9148936,0.08510638,0.9148936,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3768116,0,0
27,0.9183673,0.9183673,0.08163265,0.9183673,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0,0
28,0.92156863,0.92156863,0.078431375,0.92156863,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37333333,0,0
29,0.9245283,0.9245283,0.0754717,0.9245283,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37179488,0,0
30,0.92727274,0.92727274,0.07272727,0.92727274,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37037036,0,0
31,0.9298246,0.9298246,0.07017544,0.9298246,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3690476,0,0
32,0.9322034,0.9322034,0.06779661,0.9322034,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3678161,0,0
33,0.93442625,0.93442625,0.06557377,0.93442625,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36666667,0,0
34,0.93650794,0.93650794,0.06349207,0.93650794,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3655914,0,0
35,0.93846154,0.93846154,0.06153846,0.93846154,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36458334,0,0
36,0.9402985,0.9402985,0.05970149,0.9402985,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36363637,0,0
37,0.942029,0.942029,0.057971016,0.942029,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3627451,0,0
38,0.943662,0.943662,0.056338027,0.943662,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36190477,0,0
39,0.94520545,0.94520545,0.05479452,0.94520545,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3611111,0,0
