shortTermMemoryLimit,windowsSize,threshold,k_ini,F1M,precision,recall,subsetAccuracy,NP,unk,unkRemoved
0.1,200,1.1,0.01,0.9496576,0.93407965,0.9718619,0.81264985,5,38,13
0.1,200,1.1,0.05,0.80876154,0.72726744,0.70387816,0.44134673,35,194,57
0.1,200,1.1,0.1,0.5963394,0.4840123,0.46642023,0.3167124,31,134,25
0.1,200,1.1,0.25,0.39229074,0.31555519,0.27767438,0.142367,21,118,33
0.1,500,1.1,0.01,0.9486572,0.92901284,0.9962405,0.798746,1,12,4
0.1,500,1.1,0.05,0.95930654,0.95170546,0.9719788,0.83833957,9,57,13
0.1,500,1.1,0.1,0.9193881,0.9078387,0.89380795,0.7064318,25,144,32
0.1,500,1.1,0.25,0.70130104,0.6397462,0.57261294,0.31573734,38,167,17
0.1,1000,1.1,0.01,0.9497119,0.9305054,0.9961527,0.8028831,1,9,4
0.1,1000,1.1,0.05,0.96627045,0.95092154,0.99614984,0.86054754,1,14,3
0.1,1000,1.1,0.1,0.9640359,0.9542356,0.9827795,0.8530675,7,54,10
0.1,1000,1.1,0.25,0.85306877,0.86244816,0.76898307,0.46758524,30,127,8
0.1,2000,1.1,0.01,0.9520693,0.9325961,0.9976844,0.8112273,0,6,0
0.1,2000,1.1,0.05,0.96587616,0.95315707,0.99733377,0.86164874,0,6,0
0.1,2000,1.1,0.1,0.96905535,0.9605005,0.99402934,0.87381744,0,8,0
0.1,2000,1.1,0.25,0.8754084,0.9244801,0.81293744,0.5406257,27,139,0
0.25,200,1.1,0.01,0.94968975,0.9376887,0.97951907,0.80587155,1,21,14
0.25,200,1.1,0.05,0.79421765,0.7299394,0.6881633,0.43477118,36,204,71
0.25,200,1.1,0.1,0.5975554,0.46165726,0.4691851,0.29592443,25,117,30
0.25,200,1.1,0.25,0.40893784,0.3615815,0.30107412,0.17766139,37,179,41
0.25,500,1.1,0.01,0.95441926,0.93903494,0.9935684,0.82638186,0,6,3
0.25,500,1.1,0.05,0.9567156,0.9469673,0.97215945,0.8272285,4,42,13
0.25,500,1.1,0.1,0.91232073,0.88955003,0.8867923,0.6787646,21,119,29
0.25,500,1.1,0.25,0.7133055,0.6494743,0.58395565,0.31942055,36,155,12
0.25,1000,1.1,0.01,0.9554648,0.9402651,0.99611956,0.8273741,0,10,4
0.25,1000,1.1,0.05,0.9663469,0.9543821,0.994303,0.8640898,1,14,5
0.25,1000,1.1,0.1,0.96399313,0.95786893,0.9826665,0.8560718,6,46,8
0.25,1000,1.1,0.25,0.85330135,0.888419,0.78246576,0.486328,35,173,23
0.25,2000,1.1,0.01,0.9533516,0.936556,0.9965564,0.8181165,0,15,0
0.25,2000,1.1,0.05,0.9672168,0.95465356,0.9966433,0.8661978,0,5,0
0.25,2000,1.1,0.1,0.9691673,0.95939636,0.99489737,0.87300235,0,10,0
