Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,0
2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0,0
3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,0
4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0
5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5625,1,0
6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61904764,1,0
7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6296296,0,0
8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666667,1,0
9,0.84615386,0.84615386,0.30769232,0.84615386,0.84615386,0.983871,0.9166667,1.0,1.0,0.96825397,0.84615386,0.6857143,0,0
10,0.84615386,0.84615386,0.30769232,0.84615386,0.84615386,0.972973,0.9166667,1.0,1.0,0.94736844,0.84615386,0.7027027,2,0
11,0.73333335,0.73333335,0.4,0.73333335,0.0,0.96511626,0.9166667,1.0,1.0,0.9325843,0.84615386,0.71794873,0,0
12,0.64705884,0.64705884,0.47058824,0.64705884,0.0,0.9591837,0.9166667,1.0,1.0,0.92156863,0.84615386,0.73170733,0,0
13,0.57894737,0.57894737,0.5263158,0.57894737,0.0,0.95454544,0.9166667,1.0,1.0,0.9130435,0.84615386,0.74418604,0,0
14,0.61904764,0.61904764,0.47619048,0.61904764,0.0,0.9516129,0.92857146,1.0,1.0,0.9076923,0.8666667,0.7234042,0,0
15,0.65217394,0.65217394,0.4347826,0.65217394,0.0,0.95,0.9375,1.0,1.0,0.9047619,0.88235295,0.7058824,0,0
16,0.68,0.68,0.4,0.68,0.0,0.94936705,0.9444445,1.0,1.0,0.90361446,0.8947368,0.6909091,0,0
17,0.6923077,0.6923077,0.3846154,0.6923077,0.0,0.9491525,0.9473684,1.0,1.0,0.9032258,0.9,0.69491524,1,0
18,0.71428573,0.71428573,0.35714287,0.71428573,0.0,0.94949496,0.95238096,1.0,1.0,0.90384614,0.90909094,0.6875,0,0
19,0.7241379,0.7241379,0.3448276,0.7241379,0.0,0.95,0.95454544,1.0,1.0,0.9047619,0.9130435,0.6956522,1,0
20,0.73333335,0.73333335,0.33333334,0.73333335,0.0,0.9506173,0.95652175,1.0,1.0,0.90588236,0.9166667,0.70666665,1,0
21,0.6875,0.6875,0.4375,0.6875,0.0,0.94756556,0.9166667,1.0,1.0,0.9003559,0.84615386,0.71428573,0,0
22,0.6764706,0.6764706,0.47058824,0.6764706,0.0,0.94358975,0.90196085,1.0,1.0,0.89320385,0.8214286,0.7125,0,0
23,0.6944444,0.6944444,0.44444445,0.6944444,0.0,0.940625,0.90909094,1.0,1.0,0.8879056,0.8333333,0.70238096,0,0
24,0.7105263,0.7105263,0.42105263,0.7105263,0.0,0.93848354,0.91525424,1.0,1.0,0.88409704,0.84375,0.6931818,0,0
25,0.7,0.7,0.45,0.7,0.0,0.935611,0.9032258,1.0,1.0,0.87901235,0.8235294,0.6923077,0,0
26,0.6904762,0.6904762,0.47619048,0.6904762,0.0,0.9322034,0.8923077,1.0,1.0,0.8730159,0.8055556,0.69148934,0,0
27,0.6818182,0.6818182,0.5,0.6818182,0.0,0.92841166,0.88235295,1.0,1.0,0.8663883,0.7894737,0.69072163,0,0
28,0.6956522,0.6956522,0.47826087,0.6956522,0.0,0.9254659,0.88888896,1.0,1.0,0.8612717,0.8,0.6831683,0,0
29,0.6875,0.6875,0.5,0.6875,0.0,0.92219025,0.88,1.0,1.0,0.85561496,0.78571427,0.6826923,0,0
30,0.7,0.7,0.48,0.7,0.0,0.91964287,0.886076,1.0,1.0,0.8512397,0.79545456,0.6759259,0,0
31,0.6923077,0.6923077,0.5,0.6923077,0.0,0.9168053,0.8780487,1.0,1.0,0.8463902,0.7826087,0.6756757,0,0
32,0.7037037,0.7037037,0.4814815,0.7037037,0.0,0.9145963,0.88372093,1.0,1.0,0.84263235,0.7916667,0.6695652,0,0
33,0.6964286,0.6964286,0.5,0.6964286,0.0,0.9121278,0.87640446,1.0,1.0,0.83845127,0.78,0.6694915,0,0
34,0.70689654,0.70689654,0.4827586,0.70689654,0.0,0.91020405,0.8817204,1.0,1.0,0.835206,0.78846157,0.6639344,0,0
35,0.71666664,0.71666664,0.46666667,0.71666664,0.0,0.90874285,0.88659793,1.0,1.0,0.83274853,0.7962963,0.65873015,0,0
