Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.9858863,0.9166667,0.0,0.9786111,0.99583334,0.97972965,0.9759375,0.96666664,0.959832,0.9931507,0.99259263,0.0057142857,1,0
2,0.9747539,0.88429755,0.0,0.96129483,0.99793386,0.9742441,0.9667709,0.95394737,0.9392083,0.9954233,0.996,0.0055555557,0,0
3,0.9658251,0.8406593,0.0,0.94963384,0.99404764,0.96849084,0.9587937,0.9439655,0.92715436,0.9943246,0.99266875,0.005217391,0,0
4,0.9689857,0.8600823,0.0,0.9550756,0.99314135,0.96752816,0.96364033,0.9431524,0.9376772,0.99319726,0.9910823,0.005442177,0,0
5,0.97048086,0.86513156,0.0,0.9574563,0.9934211,0.9675998,0.965346,0.94368017,0.94053876,0.99276346,0.9914972,0.0053475937,0,0
6,0.97036946,0.86027396,0.0,0.9561643,0.99452055,0.9676609,0.9650179,0.943662,0.938711,0.99291235,0.9928417,0.005263158,0,0
7,0.97191274,0.87089205,0.0,0.9587245,0.9947183,0.96815884,0.9671019,0.9445209,0.9424149,0.99301034,0.993117,0.005263158,0,0
8,0.96950525,0.86652976,0.0,0.95499647,0.99537987,0.96825975,0.9660388,0.944484,0.93964636,0.9932635,0.99395674,0.0052459016,0,0
9,0.96988875,0.870438,0.0,0.95532227,0.99589413,0.9685177,0.9669989,0.9446972,0.9408163,0.99357057,0.9946805,0.0052941176,0,0
10,0.97009116,0.87027913,0.0,0.95525444,0.9963054,0.96876293,0.96685517,0.94487,0.94004667,0.9938957,0.99523765,0.005249344,0,0
11,0.9706215,0.8716418,0.0,0.95574623,0.9966418,0.9690069,0.96720463,0.9450507,0.94032747,0.9942091,0.99566346,0.0052256533,0,0
12,0.97013813,0.86694103,0.0,0.9546182,0.99691355,0.9691188,0.9667281,0.94499755,0.939093,0.9945036,0.9960389,0.006422064,2,0
13,0.9686767,0.8594937,0.0,0.95202535,0.9971519,0.9689695,0.96521145,0.9444677,0.93595266,0.99477637,0.9963586,0.0074242256,0,0
14,0.96790123,0.8578143,0.0,0.9507834,0.99735606,0.96873254,0.96418333,0.94378966,0.9338131,0.9950296,0.9965955,0.008218264,0,0
15,0.96794397,0.85635966,0.0,0.95085895,0.99698466,0.9685119,0.9640032,0.94321185,0.9338975,0.99520653,0.99611455,0.008934277,0,0
16,0.9696111,0.8643371,0.0,0.9534258,0.99717367,0.9685489,0.96593887,0.9431273,0.9373245,0.99537903,0.9963552,0.00958379,0,0
17,0.9695571,0.8655706,0.0,0.9535139,0.99685687,0.9686059,0.96634585,0.9431268,0.9382043,0.99549985,0.9962279,0.010147998,0,0
18,0.9699505,0.86849314,0.0,0.9545815,0.9964992,0.9686917,0.9666347,0.94325083,0.93925923,0.99554306,0.99565375,0.0106760785,0,0
19,0.9703745,0.8711073,0.0,0.9556084,0.9962514,0.9688409,0.96754456,0.9435126,0.9410343,0.99556667,0.99559176,0.011134912,0,0
20,0.9695012,0.8667763,0.0,0.9546874,0.99569625,0.9688783,0.9664282,0.9436616,0.93999827,0.9954797,0.99438745,0.011782798,1,0
21,0.96928614,0.86442006,0.0,0.954075,0.9958986,0.9688887,0.96639234,0.943728,0.939693,0.9954276,0.9946532,0.012660819,1,0
22,0.96947825,0.8668661,0.0,0.95467436,0.99578655,0.96892285,0.96684104,0.94386387,0.9407975,0.9953487,0.9943674,0.013431738,0,0
23,0.9693765,0.8676681,0.0,0.95497113,0.99525505,0.96896154,0.9670786,0.94402444,0.94145024,0.99525183,0.9941414,0.014091419,0,0
24,0.9694798,0.86703223,0.0,0.95526594,0.99511075,0.96899724,0.9671726,0.9441719,0.94162244,0.99516326,0.9941481,0.014739083,0,0
25,0.9700176,0.86907893,0.0,0.9560743,0.9951754,0.96907216,0.96785384,0.94438696,0.94291675,0.9950825,0.9941459,0.015308766,0,0
26,0.9699556,0.870171,0.0,0.956449,0.9948279,0.96916443,0.96818286,0.9446464,0.9438928,0.994989,0.9937561,0.016321002,2,0
27,0.9692186,0.86768293,0.0,0.9557925,0.9944105,0.9692153,0.96775776,0.9448366,0.9434134,0.9948852,0.9933917,0.017254455,0,0
28,0.9693961,0.8682353,0.0,0.956186,0.99431366,0.96926624,0.9677861,0.94501865,0.94345105,0.9947909,0.99340975,0.018309113,1,0
29,0.96910334,0.86655307,0.0,0.9555269,0.99451065,0.9692849,0.96690774,0.94511616,0.94158965,0.9947221,0.993625,0.019138148,0,0
30,0.96914154,0.8666301,0.0,0.9555431,0.9945847,0.9692948,0.9669782,0.94519234,0.9416931,0.9946586,0.99365866,0.020004405,0,0
31,0.9691764,0.86776423,0.0,0.9557972,0.99449456,0.9693114,0.96711576,0.94527704,0.9419364,0.99459994,0.9936783,0.02082131,0,0
32,0.9692586,0.8677983,0.0,0.9557524,0.99466735,0.969334,0.9673727,0.94535744,0.9422432,0.99455833,0.9938793,0.02158622,0,0
33,0.96929157,0.8668329,0.0,0.95585996,0.9945636,0.9693538,0.9674173,0.9454407,0.9424614,0.994508,0.99373084,0.021695405,0,3
34,0.9698818,0.86882865,0.0,0.9566227,0.99472415,0.9694024,0.96798295,0.9455647,0.94337034,0.99447304,0.99391425,0.021811554,0,0
35,0.96933675,0.86600846,0.0,0.9567071,0.99377847,0.96942216,0.96766824,0.94567055,0.94340736,0.99439764,0.99320984,0.021959519,0,0
36,0.96901524,0.86380255,0.0,0.9562841,0.99364734,0.9694177,0.9672883,0.9457335,0.9427928,0.9943187,0.99309075,0.02206548,0,0
37,0.966383,0.8594306,0.0,0.95335114,0.9914815,0.96936476,0.9665279,0.9457419,0.94200134,0.9941981,0.9923657,0.02181162,1,0
38,0.9659528,0.85838026,0.0,0.9525626,0.9917065,0.96929663,0.96623397,0.9457033,0.9412664,0.99409723,0.9925622,0.02153036,0,0
39,0.9659804,0.8578059,0.0,0.9525953,0.991709,0.9692296,0.96615815,0.9456587,0.941079,0.9940055,0.9926106,0.021236539,0,0
40,0.96516675,0.85561496,0.0,0.9512688,0.9919171,0.96914023,0.9656047,0.9455577,0.9398829,0.9939292,0.992774,0.021026658,0,0
41,0.9650704,0.8555377,0.0,0.9512311,0.9919143,0.96905327,0.965571,0.9454555,0.9397875,0.99385923,0.9928092,0.02078273,0,0
42,0.9650723,0.85663927,0.0,0.95129323,0.9917158,0.9689808,0.96582216,0.9453752,0.9402234,0.9937954,0.99285376,0.020530969,0,0
43,0.9650678,0.8565417,0.0,0.9513142,0.9917178,0.9689155,0.96589816,0.94530416,0.94033927,0.9937365,0.99288523,0.020321257,0,0
44,0.9645357,0.8553271,0.0,0.9504619,0.9917198,0.96882963,0.96539944,0.9451902,0.9393772,0.99368185,0.9929045,0.020119706,0,0
45,0.96385056,0.8533821,0.0,0.9495744,0.9916576,0.96872526,0.9648289,0.94504356,0.93840086,0.99362445,0.9927887,0.020065088,1,0
46,0.96446896,0.85586554,0.0,0.9505851,0.9916608,0.9686526,0.9653871,0.94495296,0.93950194,0.9935717,0.992739,0.019995589,0,0
47,0.9643202,0.8561428,0.0,0.95030427,0.9918389,0.9685814,0.9653789,0.9448561,0.93934995,0.99352884,0.9928915,0.019918157,0,0
48,0.9640802,0.8553308,0.0,0.9500182,0.9915782,0.96850836,0.96520823,0.9447583,0.9392684,0.9934833,0.9926214,0.019963244,1,0
49,0.96372676,0.8542646,0.0,0.94963175,0.9914709,0.96843183,0.9650373,0.9446558,0.9390178,0.9934357,0.99253976,0.019998029,0,0
50,0.9637474,0.8544616,0.0,0.94972134,0.9914171,0.96836,0.9650619,0.94456375,0.93921185,0.9933863,0.9923752,0.020015424,2,2
51,0.9636821,0.8546981,0.0,0.9496084,0.9914758,0.96829104,0.965059,0.9444736,0.9392456,0.9933407,0.9923313,0.020014847,1,0
