Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,0
2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1,0
3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5555556,0,0
4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53846157,0,0
5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5294118,0,0
6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714286,1,0
7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5769231,0,0
8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58064514,0,0
9,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6111111,1,0
10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,2,0
11,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6818182,2,0
12,0.875,0.875,0.125,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7083333,0,0
13,0.7777778,0.7777778,0.22222222,0.7777778,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7307692,0,0
14,0.8,0.8,0.2,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7241379,0,0
15,0.8,0.8,0.2,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,2,0
16,0.8181818,0.8181818,0.18181819,0.8181818,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0,0
17,0.82608694,0.82608694,0.17391305,0.82608694,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7625,1,0
18,0.8333333,0.8333333,0.16666667,0.8333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7752809,1,0
19,0.84,0.84,0.16,0.84,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7878788,1,0
20,0.84615386,0.84615386,0.15384616,0.84615386,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1,0
21,0.78571427,0.78571427,0.2857143,0.78571427,0.0,0.99641573,0.95652175,1.0,1.0,0.99285716,0.9166667,0.8119658,0,0
22,0.76666665,0.76666665,0.33333334,0.76666665,0.0,0.99176276,0.9387755,1.0,1.0,0.9836601,0.88461536,0.816,0,0
23,0.75,0.75,0.375,0.75,0.0,0.9863429,0.9230769,1.0,1.0,0.9730539,0.85714287,0.81954885,0,0
24,0.7647059,0.7647059,0.3529412,0.7647059,0.0,0.9818182,0.92857146,1.0,1.0,0.96428573,0.8666667,0.8169014,0,0
25,0.7777778,0.7777778,0.33333334,0.7777778,0.0,0.97806454,0.93333334,1.0,1.0,0.9570707,0.875,0.81456953,0,0
26,0.7894737,0.7894737,0.31578946,0.7894737,0.0,0.9749702,0.9375,1.0,1.0,0.9511628,0.88235295,0.8125,0,0
