timestamp,cardinality
1,3.0
200,3.705
400,1.7633587786259541
600,1.8453038674033149
800,1.7552083333333333
1000,2.0208333333333335
1200,1.7395833333333333
1400,1.8385416666666667
1600,1.739795918367347
1800,1.6903553299492386
2000,1.8214285714285714
2200,1.7875647668393781
2400,1.8020304568527918
2600,1.7346938775510203
2800,1.7409326424870466
3000,1.849740932642487
