Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.58826435,0.0,0.016393442,0.4907104,0.80191267,0.62365586,0.663804,0.51555556,0.563357,0.78911567,0.8078431,0.0,0,0
2,0.5849013,0.016393442,0.024590164,0.48879778,0.7909834,0.6218638,0.65252936,0.5125554,0.5486351,0.7904328,0.80496424,0.0,0,0
3,0.5925532,0.016393442,0.021857923,0.4973588,0.7855191,0.62555856,0.6588213,0.5169867,0.55546415,0.7918552,0.80943584,0.0,0,0
4,0.5514144,0.02173913,0.026086956,0.49028987,0.7134057,0.61409396,0.6239373,0.515493,0.5470211,0.7593361,0.72602296,0.03766989,14,0
5,0.5325124,0.02264151,0.02264151,0.5151572,0.660377,0.60404277,0.608247,0.51801497,0.55537575,0.7243346,0.6722439,0.12411754,26,0
6,0.5067225,0.022727273,0.025974026,0.49740255,0.6190472,0.5933214,0.59387314,0.52012545,0.55831987,0.6904927,0.63426244,0.1903297,18,0
7,0.46372494,0.01977401,0.031073445,0.45564964,0.5640298,0.5816986,0.5681276,0.5222527,0.5634168,0.6564157,0.5729178,0.23981936,15,0
8,0.43088636,0.021951219,0.048780486,0.42487797,0.5211379,0.5701478,0.5473947,0.52549225,0.5724057,0.6230978,0.52447784,0.24906711,5,0
9,0.39684585,0.019438446,0.07343412,0.3926565,0.4773215,0.5580658,0.5239401,0.52836984,0.57439935,0.5912985,0.48163033,0.2502344,8,0
10,0.36944813,0.017274473,0.09596929,0.36724237,0.4411385,0.5458808,0.5041677,0.5314293,0.58023953,0.5611402,0.4457305,0.25038654,3,5
11,0.34062222,0.015490534,0.12048193,0.339931,0.4047616,0.53357846,0.4824656,0.5344689,0.5846709,0.532691,0.41067606,0.254668,1,0
12,0.3203233,0.014128729,0.14128728,0.32017255,0.3796439,0.5217174,0.46493983,0.5372843,0.58802587,0.5070272,0.3844636,0.26144344,5,0
13,0.30430108,0.014367816,0.15229885,0.3059625,0.35799783,0.51038706,0.44821227,0.54002774,0.591645,0.48383084,0.36075443,0.26948246,2,0
14,0.28980002,0.014550265,0.17328042,0.2917988,0.3395059,0.49949715,0.43497986,0.54270345,0.5945718,0.46266302,0.34293178,0.27308977,1,7
15,0.2768854,0.014760148,0.18819188,0.27984813,0.3228781,0.4890161,0.42135552,0.545133,0.5958647,0.4433744,0.32590786,0.27876535,4,0
16,0.27098647,0.016073478,0.19402985,0.27395695,0.3143895,0.47962874,0.41510373,0.5478833,0.6018005,0.42649648,0.31681737,0.28350016,3,0
17,0.26311648,0.015086207,0.20474137,0.267331,0.30352,0.4709627,0.4074363,0.550666,0.6060976,0.41141462,0.30685735,0.28615317,4,8
18,0.25370008,0.014198783,0.21196754,0.25853598,0.29141304,0.4627002,0.39783067,0.55333334,0.6082985,0.3975788,0.29556638,0.29077864,3,0
19,0.24248867,0.013397129,0.22583732,0.24752772,0.2778309,0.4544992,0.38525328,0.5557188,0.60947376,0.38447103,0.28164014,0.2977775,2,0
20,0.23415495,0.012704174,0.22413793,0.23911054,0.26784632,0.44674093,0.37534162,0.5578296,0.60820675,0.3725497,0.27142185,0.2953488,4,1
21,0.22616436,0.012079379,0.23641069,0.23103239,0.25841242,0.4392363,0.36632365,0.5598153,0.6094638,0.36139518,0.2618578,0.29519358,4,0
22,0.219619,0.011494253,0.23973727,0.22421996,0.25054738,0.43211254,0.3586278,0.5618393,0.6123089,0.35105512,0.2535722,0.29572412,2,0
23,0.21113403,0.010954617,0.24726135,0.21538858,0.2408712,0.42504835,0.34770092,0.56373763,0.613927,0.3411255,0.24252939,0.29887936,1,0
24,0.20297939,0.010463378,0.25186846,0.20700046,0.23156458,0.4181221,0.33791265,0.5654814,0.6145451,0.33168742,0.23302042,0.30189455,1,0
25,0.1970077,0.010021474,0.25697923,0.20069194,0.22476742,0.41142017,0.33012214,0.5671387,0.61576295,0.3227917,0.2255116,0.3051975,2,0
26,0.19065644,0.009608786,0.26218256,0.19408602,0.21757044,0.40490022,0.322889,0.56871355,0.61664236,0.3143533,0.21870384,0.3094403,1,0
27,0.18433581,0.009234829,0.26583114,0.18774186,0.2103123,0.39857113,0.3150462,0.5701903,0.61756265,0.30636084,0.2114609,0.3120479,2,8
28,0.17921352,0.008877615,0.26886493,0.18269922,0.20439662,0.39243057,0.3086634,0.57161105,0.6188534,0.29877487,0.20560654,0.31424803,0,0
29,0.1739059,0.008547009,0.2765568,0.17715712,0.19831103,0.38640442,0.3019551,0.5729724,0.6194464,0.29149082,0.19963442,0.31558806,0,0
30,0.16956967,0.008244994,0.2803298,0.1727621,0.19336481,0.38060233,0.2957886,0.57431704,0.6212853,0.28460595,0.19409864,0.31602862,1,4
31,0.16461658,0.007963595,0.28270763,0.16767164,0.1877134,0.37495413,0.28959212,0.57560724,0.62244254,0.27803344,0.18869023,0.31722733,1,0
32,0.15942855,0.007705008,0.28728673,0.16236474,0.18180159,0.36941338,0.2823512,0.5767947,0.6224408,0.2717192,0.18258843,0.31919652,2,0
33,0.1553978,0.0074587106,0.2940863,0.15815134,0.17723326,0.3639867,0.27640885,0.5779426,0.6233675,0.26564443,0.17757358,0.3196587,1,3
34,0.15109247,0.007231405,0.3001033,0.153676,0.17252076,0.35867286,0.27022406,0.5790318,0.6239333,0.2598016,0.1724575,0.3217534,2,0
35,0.14739971,0.007021063,0.30541626,0.14979109,0.16867279,0.35349372,0.2644783,0.5800793,0.62477875,0.25420022,0.1677433,0.32461256,3,0
36,0.14433269,0.0068192887,0.3078422,0.14654171,0.1652055,0.34847862,0.25963503,0.58111024,0.6257488,0.24885593,0.16379923,0.3274496,2,0
