timestamp,evaluationWindow,nExamples,radius,silhouette,threshold,averOut,label
298,4,6.0,0.02566415806134506,1.0,0.0,0.9884369792488171,NP1
340,5,4.0,0.055785513663586396,1.0,0.0,0.9750671567688755,NP2
361,5,4.0,0.04570146032366205,0.05668674069660516,0.0,0.9788593627877047,NP3
361,5,14.0,0.010017558672745903,-1.0,3.2340463779073164E-4,0.0,NP3
361,5,5.0,0.05940200780503103,1.0,0.0,0.9742780252975493,NP4
386,6,4.0,0.07431956066764886,1.0,0.0,0.9669498653945449,NP5
408,6,6.0,0.07218375897797118,0.21002916646904843,0.0,0.9702081183811742,NP6
408,6,7.0,0.019671378817827323,-1.0,0.01851283015172388,0.0,NP6
408,6,4.0,0.04844368744096169,1.0,0.0,0.9767638782009629,NP7
408,6,4.0,0.06415998642019202,1.0,0.0,0.9709509936031412,NP8
408,6,6.0,0.09970450724169695,1.0,0.0,0.9570316724705967,NP9
408,6,4.0,0.07695924312017764,1.0,0.0,0.9675164832007532,NP10
431,7,4.0,0.12853547551594016,1.0,0.0,0.9408542423236759,NP11
431,7,4.0,0.04194902788844354,1.0,0.0,0.9815305294128407,NP12
431,7,4.0,0.10989598656343416,1.0,0.0,0.9574412581005411,NP13
431,7,4.0,0.040405418658285876,1.0,0.0,0.9810714360868744,NP14
454,7,7.0,0.13789194706222957,1.0,0.0,0.9361548346510469,NP15
454,7,4.0,0.09463609717241889,0.06286362390705558,0.0,0.9557234579566749,NP16
454,7,7.0,0.05065072386348221,-1.0,8.075011958509191E-9,0.0,NP16
454,7,6.0,0.08587545159634936,0.04474081083264239,0.0,0.9614953981064818,NP17
454,7,20.0,0.013719296312981317,-1.0,3.2671922045750233E-7,0.0,NP17
454,7,4.0,0.10084776775706245,1.0,0.0,0.9539047324460058,NP18
534,8,8.0,0.07743558410753795,1.0,0.0,0.9694311113664921,NP19
534,8,4.0,0.1014119308709249,1.0,0.0,0.9584006917619114,NP20
1192,19,4.0,0.0703666572007691,1.0,0.0,0.9679214889184488,NP21
1192,19,4.0,0.11343847744128163,1.0,0.0,0.951360438501633,NP22
1192,19,5.0,0.08358826327078184,1.0,0.0,0.9634491651797029,NP23
1192,19,6.0,0.11885087093058397,0.09420193233971151,0.0,0.9477845427305017,NP24
1192,19,13.0,0.02108633029676842,-1.0,0.0,0.0,NP24
