Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
298,NP1,,,
340,NP2,,,
361,NP3,,,
361,NP4,,,
386,NP5,,,
408,NP6,,,
408,NP7,,,
408,NP8,,,
408,NP9,,,
408,NP10,,,
431,NP11,,,
431,NP12,,,
431,NP13,,,
431,NP14,,,
454,NP15,,,
454,NP16,,,
454,NP17,,,
454,NP18,,,
534,NP19,,,
534,NP20,,,
1192,NP21,,,
1192,NP22,,,
1192,NP23,,,
1192,NP24,,,
