Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,37,0.78834635,0.42973012,0.005360812,0.85811603,0.7669144,0.85642153,0.83117205,0.92364734,0.87731254,0.79831755,0.78964233
MINAS-BR,38,0.7818223,0.4205775,0.005687546,0.85273683,0.760376,0.85365474,0.8263892,0.9206064,0.87453413,0.79578114,0.7832687
MINAS-BR,39,0.7751071,0.41197613,0.0055450425,0.84700805,0.7536355,0.850803,0.68846977,0.91751134,0.713759,0.79313725,0.6649112
MINAS-BR,40,0.7670927,0.4030071,0.005412759,0.8400649,0.7452695,0.8478019,0.7112252,0.9143784,0.7748633,0.79026246,0.65724677
MINAS-BR,41,0.7587922,0.39425567,0.0052882666,0.8326451,0.7366675,0.8446605,0.71302044,0.91120523,0.7914134,0.7871737,0.64875805
MINAS-BR,42,0.7508912,0.38576078,0.0051684533,0.8256917,0.7283905,0.84140337,0.7131684,0.90800655,0.80019933,0.78390336,0.6432116
MINAS-BR,43,0.74265254,0.37749195,0.005054084,0.8183214,0.71983784,0.8380308,0.70725566,0.90477276,0.7980927,0.78045905,0.6349834
MINAS-BR,44,0.73419726,0.3694535,0.004943309,0.810589,0.71109873,0.8345399,0.70203435,0.90149885,0.79642916,0.7768399,0.62764436
MINAS-BR,45,0.7262115,0.3617302,0.0048643737,0.80328214,0.70281035,0.8309643,0.6965085,0.8981971,0.79300684,0.77309585,0.62094754
MINAS-BR,46,0.7181374,0.35432598,0.004801063,0.7957939,0.694436,0.82730573,0.69196635,0.8948739,0.7912416,0.76922476,0.6148256
MINAS-BR,47,0.710179,0.34720296,0.00485109,0.78829116,0.6862555,0.8235742,0.6867848,0.8915266,0.7882484,0.7652469,0.60846317
MINAS-BR,48,0.7026045,0.34036687,0.0048869736,0.7811479,0.67848426,0.819788,0.68216497,0.8881575,0.7852383,0.7611922,0.60301137
MINAS-BR,49,0.694844,0.3338646,0.0051236646,0.77356285,0.67053807,0.8159414,0.6762358,0.8847569,0.77999014,0.75705814,0.5968436
MINAS-BR,50,0.6872058,0.32761517,0.005328206,0.7660062,0.66279095,0.8120516,0.6699912,0.8813366,0.7741712,0.7528661,0.59052444
UnkRM,1,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446
UnkRM,2,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474
UnkRM,3,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819
UnkRM,4,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996
UnkRM,5,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524
UnkRM,6,0.011952271,0.011952271,0.011952271,0.011952271,0.011952271,0.011952271,0.011952271,0.011952271,0.011952271,0.011952271,0.011952271
UnkRM,7,0.01291367,0.01291367,0.01291367,0.01291367,0.01291367,0.01291367,0.01291367,0.01291367,0.01291367,0.01291367,0.01291367
UnkRM,8,0.013050857,0.013050857,0.013050857,0.013050857,0.013050857,0.013050857,0.013050857,0.013050857,0.013050857,0.013050857,0.013050857
UnkRM,9,0.013854868,0.013854868,0.013854868,0.013854868,0.013854868,0.013854868,0.013854868,0.013854868,0.013854868,0.013854868,0.013854868
UnkRM,10,0.014739774,0.014739774,0.014739774,0.014739774,0.014739774,0.014739774,0.014739774,0.014739774,0.014739774,0.014739774,0.014739774
UnkRM,11,0.016586855,0.016586855,0.016586855,0.016586855,0.016586855,0.016586855,0.016586855,0.016586855,0.016586855,0.016586855,0.016586855
UnkRM,12,0.01797983,0.01797983,0.01797983,0.01797983,0.01797983,0.01797983,0.01797983,0.01797983,0.01797983,0.01797983,0.01797983
UnkRM,13,0.019793479,0.019793479,0.019793479,0.019793479,0.019793479,0.019793479,0.019793479,0.019793479,0.019793479,0.019793479,0.019793479
UnkRM,14,0.021574164,0.021574164,0.021574164,0.021574164,0.021574164,0.021574164,0.021574164,0.021574164,0.021574164,0.021574164,0.021574164
UnkRM,15,0.023263482,0.023263482,0.023263482,0.023263482,0.023263482,0.023263482,0.023263482,0.023263482,0.023263482,0.023263482,0.023263482
UnkRM,16,0.024539605,0.024539605,0.024539605,0.024539605,0.024539605,0.024539605,0.024539605,0.024539605,0.024539605,0.024539605,0.024539605
UnkRM,17,0.26932085,0.26932085,0.26932085,0.26932085,0.26932085,0.26932085,0.26932085,0.26932085,0.26932085,0.26932085,0.26932085
UnkRM,18,0.27056634,0.27056634,0.27056634,0.27056634,0.27056634,0.27056634,0.27056634,0.27056634,0.27056634,0.27056634,0.27056634
UnkRM,19,0.1194586,0.1194586,0.1194586,0.1194586,0.1194586,0.1194586,0.1194586,0.1194586,0.1194586,0.1194586,0.1194586
UnkRM,20,0.09447066,0.09447066,0.09447066,0.09447066,0.09447066,0.09447066,0.09447066,0.09447066,0.09447066,0.09447066,0.09447066
UnkRM,21,0.07962687,0.07962687,0.07962687,0.07962687,0.07962687,0.07962687,0.07962687,0.07962687,0.07962687,0.07962687,0.07962687
UnkRM,22,0.06862576,0.06862576,0.06862576,0.06862576,0.06862576,0.06862576,0.06862576,0.06862576,0.06862576,0.06862576,0.06862576
UnkRM,23,0.060747232,0.060747232,0.060747232,0.060747232,0.060747232,0.060747232,0.060747232,0.060747232,0.060747232,0.060747232,0.060747232
UnkRM,24,0.05493896,0.05493896,0.05493896,0.05493896,0.05493896,0.05493896,0.05493896,0.05493896,0.05493896,0.05493896,0.05493896
UnkRM,25,0.05088591,0.05088591,0.05088591,0.05088591,0.05088591,0.05088591,0.05088591,0.05088591,0.05088591,0.05088591,0.05088591
UnkRM,26,0.047058016,0.047058016,0.047058016,0.047058016,0.047058016,0.047058016,0.047058016,0.047058016,0.047058016,0.047058016,0.047058016
UnkRM,27,0.04385005,0.04385005,0.04385005,0.04385005,0.04385005,0.04385005,0.04385005,0.04385005,0.04385005,0.04385005,0.04385005
UnkRM,28,0.041440997,0.041440997,0.041440997,0.041440997,0.041440997,0.041440997,0.041440997,0.041440997,0.041440997,0.041440997,0.041440997
UnkRM,29,0.039280888,0.039280888,0.039280888,0.039280888,0.039280888,0.039280888,0.039280888,0.039280888,0.039280888,0.039280888,0.039280888
UnkRM,30,0.03754689,0.03754689,0.03754689,0.03754689,0.03754689,0.03754689,0.03754689,0.03754689,0.03754689,0.03754689,0.03754689
UnkRM,31,0.036528047,0.036528047,0.036528047,0.036528047,0.036528047,0.036528047,0.036528047,0.036528047,0.036528047,0.036528047,0.036528047
