Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
33363,NP1,3,34200,18
33363,NP2,4,70200,38
33363,NP3,3,34200,18
33363,NP4,3,34200,18
33363,NP5,3,34200,18
33363,NP6,3,34200,18
33363,NP7,3,34200,18
33363,NP8,3,34200,18
33363,NP9,3,34200,18
