Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.8246422,0.60999393,0.03107861,0.8775123,0.8062155,0.8824974,0.8797645,0.98550725,0.98582274,0.7989838,0.79430985
MINAS-BR,2,0.7351283,0.44117647,0.06096814,0.7862551,0.72983044,0.8541791,0.8368848,0.9836606,0.98324066,0.75482035,0.72845405
MINAS-BR,3,0.6557935,0.33941606,0.10056772,0.70517755,0.65784836,0.8269422,0.7958839,0.97931576,0.9759918,0.71560067,0.6718938
MINAS-BR,4,0.62117887,0.28880757,0.12595303,0.6754632,0.62305766,0.8075364,0.77536625,0.977935,0.97699237,0.68770796,0.6427244
MINAS-BR,5,0.59646404,0.25965297,0.14528348,0.6538156,0.59793556,0.7923785,0.75988,0.9771959,0.97718316,0.66635126,0.6216413
MINAS-BR,6,0.57565707,0.23255105,0.16570151,0.63450617,0.57699084,0.77953357,0.7460551,0.97707,0.97842884,0.6484375,0.60287446
MINAS-BR,7,0.5500438,0.2019322,0.19304752,0.6059239,0.5541549,0.76725125,0.72995347,0.9773892,0.98023695,0.63148296,0.58148354
MINAS-BR,8,0.5342066,0.17970449,0.21285532,0.58855855,0.53972423,0.7563971,0.71877307,0.9778286,0.9813876,0.61673594,0.5670368
MINAS-BR,9,0.52114284,0.1625773,0.23006849,0.5744315,0.52761555,0.74682057,0.7094975,0.97825277,0.9820368,0.6039418,0.555369
MINAS-BR,10,0.50828665,0.14806624,0.24968617,0.5619483,0.51400614,0.73768926,0.6983997,0.9786059,0.98231786,0.59195864,0.54180306
MINAS-BR,11,0.49901006,0.13651673,0.26493916,0.5534785,0.50375605,0.7293586,0.6905206,0.97905505,0.98325986,0.5811445,0.5321016
MINAS-BR,12,0.49089652,0.12723559,0.2784337,0.5464161,0.4943938,0.72170067,0.68320537,0.9795417,0.98406047,0.5713154,0.52323705
MINAS-BR,13,0.48416334,0.1198821,0.2891816,0.54098415,0.48628098,0.71463495,0.67652947,0.9800075,0.9844933,0.5623565,0.5153275
MINAS-BR,14,0.47821993,0.11359253,0.2967551,0.5360824,0.47914383,0.70814735,0.67067695,0.98043936,0.98483354,0.5542254,0.5084759
MINAS-BR,15,0.47289768,0.10760787,0.3065983,0.53245634,0.47217304,0.7020012,0.6642471,0.9808217,0.98496133,0.54661393,0.5010875
MINAS-BR,16,0.46333855,0.10138525,0.3185698,0.5238512,0.46099654,0.6958116,0.6550276,0.9811268,0.98481655,0.53905314,0.49070394
MINAS-BR,17,0.457185,0.10042268,0.3107432,0.5181254,0.4534115,0.6896235,0.71081513,0.980776,0.8505585,0.53176427,0.6105106
MINAS-BR,18,0.45750567,0.106863886,0.30383912,0.5182501,0.45249528,0.6838962,0.7234412,0.98019403,0.9008285,0.525151,0.60442114
MINAS-BR,19,0.45778784,0.11247244,0.2970079,0.5187196,0.4515106,0.6784808,0.71884173,0.9791293,0.9001575,0.5190905,0.5983234
MINAS-BR,20,0.45707464,0.11572674,0.2895265,0.5182211,0.44963226,0.67330605,0.7130443,0.9775993,0.89420694,0.5134779,0.5929209
MINAS-BR,21,0.45640343,0.11817767,0.2831126,0.51806813,0.44780228,0.6683816,0.70881355,0.97578555,0.89207363,0.5082624,0.58801645
MINAS-BR,22,0.45723847,0.12192992,0.2762526,0.5193274,0.44758314,0.66380465,0.7061565,0.9737757,0.89285016,0.5035237,0.5840356
MINAS-BR,23,0.45775974,0.12494776,0.26964474,0.5205215,0.4470769,0.65950996,0.70345575,0.9716306,0.8934691,0.49916217,0.58008873
MINAS-BR,24,0.45807186,0.12726863,0.26363683,0.5218953,0.4462706,0.65545505,0.7009198,0.96943694,0.8953714,0.49510133,0.57585835
MINAS-BR,25,0.45765203,0.12947598,0.25868744,0.52274823,0.44463286,0.6515631,0.69809276,0.9672139,0.8976226,0.49124503,0.5711366
MINAS-BR,26,0.45636237,0.13122475,0.25453076,0.5229275,0.44212013,0.647742,0.69440264,0.9649563,0.8993211,0.4874879,0.56553936
MINAS-BR,27,0.45569935,0.1321002,0.25056624,0.5247278,0.43985045,0.64403343,0.69118226,0.962744,0.90242636,0.48385587,0.5600769
MINAS-BR,28,0.45478484,0.13248064,0.24761517,0.52643454,0.4373323,0.64042425,0.68790007,0.9606174,0.90588593,0.48032296,0.5544752
MINAS-BR,29,0.4543504,0.13284361,0.24410374,0.52898616,0.43524742,0.6369437,0.6849444,0.9586242,0.90985346,0.47690967,0.549189
MINAS-BR,30,0.4534451,0.13269821,0.24108104,0.53103036,0.43279266,0.63356596,0.6818101,0.956746,0.91282135,0.4735912,0.54411
MINAS-BR,31,0.45265406,0.13156982,0.23795936,0.533691,0.43024653,0.63030475,0.67881155,0.9549879,0.91587067,0.47038138,0.539238
MINAS-BR,32,0.45233262,0.13031547,0.23464626,0.53670126,0.42830628,0.62718046,0.6761072,0.95335215,0.9187936,0.46730185,0.5348375
MINAS-BR,33,0.45198393,0.1292985,0.23139434,0.5395539,0.42638117,0.6241873,0.6733889,0.95183885,0.9215734,0.46434557,0.5305177
MINAS-BR,34,0.4517553,0.1281565,0.22830401,0.5425304,0.42462084,0.6213285,0.6708481,0.950455,0.92430526,0.46151397,0.5264801
MINAS-BR,35,0.45156044,0.12688935,0.2254427,0.5455938,0.4228912,0.618595,0.6682578,0.94918495,0.9267802,0.4588003,0.5225063
MINAS-BR,36,0.45107245,0.1252488,0.22261478,0.5486048,0.42078522,0.61596334,0.6654196,0.94799906,0.92882955,0.456185,0.51840365
MINAS-BR,37,0.45099297,0.124110214,0.21918228,0.5517988,0.4192302,0.6134482,0.66275126,0.94690025,0.9308301,0.45368314,0.51455855
MINAS-BR,38,0.45086917,0.12251119,0.21609177,0.55506784,0.41761383,0.6110384,0.65997636,0.9458819,0.9325956,0.4512834,0.5106899
MINAS-BR,39,0.45095825,0.12116012,0.21075855,0.5583391,0.41630986,0.60868424,0.6815379,0.94464356,0.779015,0.44899917,0.6057422
MINAS-BR,40,0.45394173,0.11967421,0.20558918,0.56671745,0.41703445,0.6064982,0.7085538,0.9434461,0.86294526,0.44689238,0.6010233
MINAS-BR,41,0.45709896,0.118861124,0.20065929,0.5748343,0.41801298,0.60447735,0.7145829,0.9422945,0.8867564,0.44495782,0.59839743
MINAS-BR,42,0.4600385,0.11802303,0.19583197,0.5827209,0.41881415,0.6025945,0.71544206,0.9411725,0.8966735,0.44316867,0.5951527
MINAS-BR,43,0.46266085,0.11725365,0.19132103,0.5898123,0.41946688,0.6008346,0.7148615,0.94006157,0.90165746,0.44151217,0.5921799
MINAS-BR,44,0.46539527,0.1161095,0.18685332,0.5970982,0.420168,0.59919405,0.71398276,0.93897873,0.9062103,0.4399801,0.58903515
