Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,38,0.6618303,0.40975794,0.0,0.7215972,0.6791454,0.7723899,0.71719867,0.81588596,0.767312,0.73329675,0.6732299
MINAS-BR,39,0.65439516,0.40046614,0.0,0.7174201,0.67048424,0.7669534,0.609041,0.81098044,0.6547636,0.72746056,0.5692872
MINAS-BR,40,0.6460718,0.39133796,0.0,0.7117253,0.6610021,0.761468,0.60282683,0.80607563,0.64952743,0.72153854,0.5623913
MINAS-BR,41,0.6381041,0.38263395,0.0,0.70652455,0.6517983,0.7559585,0.5969078,0.80120844,0.6448997,0.7155466,0.55556405
MINAS-BR,42,0.63045377,0.3741542,0.0,0.7017617,0.64288175,0.75043935,0.59103084,0.796385,0.6404317,0.7095059,0.5487054
MINAS-BR,43,0.62331027,0.36637798,0.0,0.69737333,0.63452715,0.7449403,0.5856021,0.791625,0.6363433,0.7034552,0.5423553
MINAS-BR,44,0.616135,0.3587104,0.0,0.6928004,0.6262517,0.7394588,0.58003855,0.7869231,0.63221735,0.6973946,0.535816
MINAS-BR,45,0.6093826,0.3516001,0.0,0.6888847,0.61832,0.7340089,0.5745442,0.78229576,0.62828,0.69133645,0.529276
MINAS-BR,46,0.60261816,0.3446065,0.0,0.68474823,0.61043555,0.7285942,0.56914306,0.7777385,0.6244782,0.6852914,0.5228161
MINAS-BR,47,0.5960339,0.3380314,0.0,0.680549,0.602866,0.7232104,0.5637632,0.7732265,0.62037086,0.6792718,0.51662236
MINAS-BR,48,0.58979887,0.33183733,0.0,0.67679524,0.59557414,0.7178716,0.55867857,0.76878756,0.6168398,0.67328084,0.51054025
MINAS-BR,49,0.5837431,0.32597807,0.0,0.6728603,0.5886244,0.712579,0.55359644,0.76440996,0.61316675,0.66733056,0.5045759
MINAS-BR,50,0.5779281,0.32030314,0.0,0.6692264,0.5818935,0.7073376,0.54862297,0.7600985,0.60972077,0.66142595,0.4986546
UnkRM,1,0.02149566,0.02149566,0.02149566,0.02149566,0.02149566,0.02149566,0.02149566,0.02149566,0.02149566,0.02149566,0.02149566
UnkRM,2,0.029674571,0.029674571,0.029674571,0.029674571,0.029674571,0.029674571,0.029674571,0.029674571,0.029674571,0.029674571,0.029674571
UnkRM,3,0.035464235,0.035464235,0.035464235,0.035464235,0.035464235,0.035464235,0.035464235,0.035464235,0.035464235,0.035464235,0.035464235
UnkRM,4,0.041076116,0.041076116,0.041076116,0.041076116,0.041076116,0.041076116,0.041076116,0.041076116,0.041076116,0.041076116,0.041076116
UnkRM,5,0.045745075,0.045745075,0.045745075,0.045745075,0.045745075,0.045745075,0.045745075,0.045745075,0.045745075,0.045745075,0.045745075
UnkRM,6,0.050833136,0.050833136,0.050833136,0.050833136,0.050833136,0.050833136,0.050833136,0.050833136,0.050833136,0.050833136,0.050833136
UnkRM,7,0.055687647,0.055687647,0.055687647,0.055687647,0.055687647,0.055687647,0.055687647,0.055687647,0.055687647,0.055687647,0.055687647
UnkRM,8,0.060718488,0.060718488,0.060718488,0.060718488,0.060718488,0.060718488,0.060718488,0.060718488,0.060718488,0.060718488,0.060718488
UnkRM,9,0.06439288,0.06439288,0.06439288,0.06439288,0.06439288,0.06439288,0.06439288,0.06439288,0.06439288,0.06439288,0.06439288
UnkRM,10,0.06918479,0.06918479,0.06918479,0.06918479,0.06918479,0.06918479,0.06918479,0.06918479,0.06918479,0.06918479,0.06918479
UnkRM,11,0.082412586,0.082412586,0.082412586,0.082412586,0.082412586,0.082412586,0.082412586,0.082412586,0.082412586,0.082412586,0.082412586
UnkRM,12,0.093655884,0.093655884,0.093655884,0.093655884,0.093655884,0.093655884,0.093655884,0.093655884,0.093655884,0.093655884,0.093655884
UnkRM,13,0.10308363,0.10308363,0.10308363,0.10308363,0.10308363,0.10308363,0.10308363,0.10308363,0.10308363,0.10308363,0.10308363
UnkRM,14,0.11104804,0.11104804,0.11104804,0.11104804,0.11104804,0.11104804,0.11104804,0.11104804,0.11104804,0.11104804,0.11104804
UnkRM,15,0.118759975,0.118759975,0.118759975,0.118759975,0.118759975,0.118759975,0.118759975,0.118759975,0.118759975,0.118759975,0.118759975
UnkRM,16,0.12579557,0.12579557,0.12579557,0.12579557,0.12579557,0.12579557,0.12579557,0.12579557,0.12579557,0.12579557,0.12579557
UnkRM,17,0.2770654,0.2770654,0.2770654,0.2770654,0.2770654,0.2770654,0.2770654,0.2770654,0.2770654,0.2770654,0.2770654
UnkRM,18,0.12672672,0.12672672,0.12672672,0.12672672,0.12672672,0.12672672,0.12672672,0.12672672,0.12672672,0.12672672,0.12672672
UnkRM,19,0.11469901,0.11469901,0.11469901,0.11469901,0.11469901,0.11469901,0.11469901,0.11469901,0.11469901,0.11469901,0.11469901
UnkRM,20,0.10760192,0.10760192,0.10760192,0.10760192,0.10760192,0.10760192,0.10760192,0.10760192,0.10760192,0.10760192,0.10760192
UnkRM,21,0.10240064,0.10240064,0.10240064,0.10240064,0.10240064,0.10240064,0.10240064,0.10240064,0.10240064,0.10240064,0.10240064
UnkRM,22,0.09834572,0.09834572,0.09834572,0.09834572,0.09834572,0.09834572,0.09834572,0.09834572,0.09834572,0.09834572,0.09834572
UnkRM,23,0.09499213,0.09499213,0.09499213,0.09499213,0.09499213,0.09499213,0.09499213,0.09499213,0.09499213,0.09499213,0.09499213
UnkRM,24,0.09237355,0.09237355,0.09237355,0.09237355,0.09237355,0.09237355,0.09237355,0.09237355,0.09237355,0.09237355,0.09237355
UnkRM,25,0.090601824,0.090601824,0.090601824,0.090601824,0.090601824,0.090601824,0.090601824,0.090601824,0.090601824,0.090601824,0.090601824
UnkRM,26,0.08907592,0.08907592,0.08907592,0.08907592,0.08907592,0.08907592,0.08907592,0.08907592,0.08907592,0.08907592,0.08907592
UnkRM,27,0.0881829,0.0881829,0.0881829,0.0881829,0.0881829,0.0881829,0.0881829,0.0881829,0.0881829,0.0881829,0.0881829
UnkRM,28,0.086952545,0.086952545,0.086952545,0.086952545,0.086952545,0.086952545,0.086952545,0.086952545,0.086952545,0.086952545,0.086952545
UnkRM,29,0.08601808,0.08601808,0.08601808,0.08601808,0.08601808,0.08601808,0.08601808,0.08601808,0.08601808,0.08601808,0.08601808
UnkRM,30,0.08546609,0.08546609,0.08546609,0.08546609,0.08546609,0.08546609,0.08546609,0.08546609,0.08546609,0.08546609,0.08546609
UnkRM,31,0.086508214,0.086508214,0.086508214,0.086508214,0.086508214,0.086508214,0.086508214,0.086508214,0.086508214,0.086508214,0.086508214
UnkRM,32,0.08758014,0.08758014,0.08758014,0.08758014,0.08758014,0.08758014,0.08758014,0.08758014,0.08758014,0.08758014,0.08758014
UnkRM,33,0.08875057,0.08875057,0.08875057,0.08875057,0.08875057,0.08875057,0.08875057,0.08875057,0.08875057,0.08875057,0.08875057
UnkRM,34,0.08999425,0.08999425,0.08999425,0.08999425,0.08999425,0.08999425,0.08999425,0.08999425,0.08999425,0.08999425,0.08999425
UnkRM,35,0.09171542,0.09171542,0.09171542,0.09171542,0.09171542,0.09171542,0.09171542,0.09171542,0.09171542,0.09171542,0.09171542
UnkRM,36,0.093887605,0.093887605,0.093887605,0.093887605,0.093887605,0.093887605,0.093887605,0.093887605,0.093887605,0.093887605,0.093887605
UnkRM,37,0.09569299,0.09569299,0.09569299,0.09569299,0.09569299,0.09569299,0.09569299,0.09569299,0.09569299,0.09569299,0.09569299
UnkRM,38,0.096992336,0.096992336,0.096992336,0.096992336,0.096992336,0.096992336,0.096992336,0.096992336,0.096992336,0.096992336,0.096992336
UnkRM,39,0.22709192,0.22709192,0.22709192,0.22709192,0.22709192,0.22709192,0.22709192,0.22709192,0.22709192,0.22709192,0.22709192
UnkRM,40,0.2282695,0.2282695,0.2282695,0.2282695,0.2282695,0.2282695,0.2282695,0.2282695,0.2282695,0.2282695,0.2282695
UnkRM,41,0.2317986,0.2317986,0.2317986,0.2317986,0.2317986,0.2317986,0.2317986,0.2317986,0.2317986,0.2317986,0.2317986
UnkRM,42,0.23483671,0.23483671,0.23483671,0.23483671,0.23483671,0.23483671,0.23483671,0.23483671,0.23483671,0.23483671,0.23483671
UnkRM,43,0.23828472,0.23828472,0.23828472,0.23828472,0.23828472,0.23828472,0.23828472,0.23828472,0.23828472,0.23828472,0.23828472
UnkRM,44,0.24161144,0.24161144,0.24161144,0.24161144,0.24161144,0.24161144,0.24161144,0.24161144,0.24161144,0.24161144,0.24161144
UnkRM,45,0.24473841,0.24473841,0.24473841,0.24473841,0.24473841,0.24473841,0.24473841,0.24473841,0.24473841,0.24473841,0.24473841
UnkRM,46,0.24802211,0.24802211,0.24802211,0.24802211,0.24802211,0.24802211,0.24802211,0.24802211,0.24802211,0.24802211,0.24802211
UnkRM,47,0.25086626,0.25086626,0.25086626,0.25086626,0.25086626,0.25086626,0.25086626,0.25086626,0.25086626,0.25086626,0.25086626
UnkRM,48,0.2537455,0.2537455,0.2537455,0.2537455,0.2537455,0.2537455,0.2537455,0.2537455,0.2537455,0.2537455,0.2537455
UnkRM,49,0.2565155,0.2565155,0.2565155,0.2565155,0.2565155,0.2565155,0.2565155,0.2565155,0.2565155,0.2565155,0.2565155
UnkRM,50,0.25897595,0.25897595,0.25897595,0.25897595,0.25897595,0.25897595,0.25897595,0.25897595,0.25897595,0.25897595,0.25897595
