Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.58771783,0.016393442,0.0,0.4986339,0.7909836,0.61497325,0.6403604,0.50660795,0.5359899,0.7823129,0.7952069
MINAS-BR,2,0.58991694,0.008196721,0.0,0.49658465,0.79849714,0.6185383,0.6473155,0.5080527,0.54139525,0.7904328,0.8047616
MINAS-BR,3,0.5932905,0.0054644807,0.0054644807,0.5020947,0.7887066,0.62305295,0.6520213,0.513573,0.5469984,0.7918552,0.8069557
MINAS-BR,4,0.5658485,0.0043290043,0.008658009,0.5174603,0.72510797,0.6161982,0.6301292,0.51656556,0.5499039,0.7634483,0.73776096
MINAS-BR,5,0.54796237,0.0038314175,0.007662835,0.5263729,0.6810342,0.6096405,0.61785674,0.520756,0.55699676,0.73511195,0.69364774
MINAS-BR,6,0.5178932,0.006535948,0.006535948,0.5007626,0.63507605,0.60214096,0.6028732,0.5252918,0.5649093,0.7053292,0.64630735
MINAS-BR,7,0.48665056,0.0057142857,0.014285714,0.47514296,0.59142834,0.59389967,0.58221674,0.52904433,0.56797296,0.676878,0.59719336
MINAS-BR,8,0.44746768,0.0050125313,0.03508772,0.44147885,0.53842914,0.58375204,0.55575925,0.53279114,0.57190484,0.6454927,0.5405002
MINAS-BR,9,0.4087861,0.004415011,0.052980132,0.40533495,0.48933017,0.5723736,0.53078926,0.53583014,0.57419103,0.6142664,0.4934877
MINAS-BR,10,0.37920967,0.0039525693,0.06521739,0.3808302,0.45026326,0.5604212,0.50755465,0.53828424,0.5750541,0.5844571,0.45423675
MINAS-BR,11,0.3538473,0.0035842294,0.07168459,0.3575868,0.41726384,0.5483908,0.48551258,0.5406504,0.57733643,0.556356,0.41888934
MINAS-BR,12,0.33954352,0.0032733225,0.08346972,0.3467541,0.3963446,0.53733575,0.47259238,0.5433951,0.58243597,0.53141,0.39760643
MINAS-BR,13,0.3217787,0.003012048,0.08885542,0.33087364,0.37299177,0.526569,0.45488483,0.5459327,0.5842193,0.50853187,0.37243515
MINAS-BR,14,0.31387338,0.0027855153,0.09331477,0.3245591,0.36118832,0.51703423,0.44940352,0.5488357,0.5910112,0.4887163,0.36253843
MINAS-BR,15,0.30414397,0.0025906735,0.09585492,0.31675312,0.34758198,0.5081497,0.4402628,0.5518226,0.5952667,0.4708825,0.3493057
MINAS-BR,16,0.29305953,0.002406739,0.098676294,0.30740082,0.33253103,0.49964246,0.4292222,0.5547042,0.5971175,0.45452487,0.33502197
MINAS-BR,17,0.28371397,0.0022573364,0.09819413,0.29904068,0.31997734,0.49169642,0.42006445,0.55758077,0.59968436,0.43973663,0.32324487
MINAS-BR,18,0.27219686,0.0021253985,0.09989373,0.2886469,0.3057031,0.48383307,0.40903607,0.56024134,0.60129637,0.42576528,0.30993614
MINAS-BR,19,0.26243773,0.002002002,0.116116114,0.27846187,0.2939606,0.4761816,0.39922982,0.56289965,0.6045481,0.41261566,0.2980166
MINAS-BR,20,0.255448,0.0018921476,0.12015137,0.27358884,0.2842952,0.46880272,0.39005536,0.56546175,0.6057357,0.40036508,0.28763798
MINAS-BR,21,0.24707429,0.0017985612,0.1294964,0.26515296,0.27458036,0.46165654,0.38155866,0.56782657,0.6062288,0.38893494,0.27838746
MINAS-BR,22,0.2396476,0.0017167382,0.13218884,0.25752512,0.26595137,0.45483795,0.37357867,0.5700032,0.60625386,0.37838736,0.26996744
MINAS-BR,23,0.23087373,0.001633987,0.1388889,0.24906054,0.2555828,0.4479819,0.36250854,0.57191396,0.6050616,0.36819515,0.25877327
MINAS-BR,24,0.22327426,0.0015588464,0.14263445,0.24124457,0.2466875,0.4412506,0.3535894,0.5736617,0.60508883,0.3585021,0.24977341
MINAS-BR,25,0.21616481,0.0014925373,0.14925373,0.23471402,0.23805979,0.43462023,0.3441409,0.57525784,0.6046569,0.3492391,0.24051508
MINAS-BR,26,0.20978568,0.0014326648,0.15401146,0.22780572,0.2307785,0.42823446,0.3377245,0.5768016,0.60593784,0.34052518,0.23410144
MINAS-BR,27,0.20470208,0.0013774105,0.15633608,0.2228077,0.22451799,0.4221484,0.33146048,0.57832295,0.60717994,0.33238795,0.22794914
MINAS-BR,28,0.19940281,0.0013253811,0.16037111,0.2170975,0.21868795,0.41627687,0.32551602,0.57981426,0.60888875,0.32469597,0.22213562
MINAS-BR,29,0.19532235,0.0012755102,0.17091836,0.21339294,0.21332918,0.41054508,0.31939396,0.58128095,0.6097784,0.31733602,0.21636033
MINAS-BR,30,0.18981357,0.0012300123,0.17527676,0.20752366,0.20735966,0.40494996,0.31226903,0.58262974,0.6094259,0.3103156,0.20991445
MINAS-BR,31,0.18580675,0.0011862396,0.1797153,0.2031041,0.20264937,0.3995183,0.30730042,0.58384913,0.6088209,0.3036507,0.20551729
MINAS-BR,32,0.18384047,0.0011467889,0.18463303,0.20103222,0.20030591,0.3944055,0.30457625,0.58510697,0.61035097,0.29745668,0.20291802
MINAS-BR,33,0.18231595,0.0011104941,0.188784,0.19966696,0.19803825,0.3895502,0.3017923,0.5864167,0.6117682,0.29164258,0.20030172
MINAS-BR,34,0.17767383,0.0010746911,0.19666846,0.19442962,0.19299673,0.3847536,0.29544675,0.5875956,0.61064947,0.28601822,0.19486307
MINAS-BR,35,0.17511584,0.0010416667,0.20052083,0.19152789,0.19010429,0.38013068,0.2920038,0.5887436,0.61174935,0.2806768,0.19177039
MINAS-BR,36,0.17146154,0.0010106114,0.2036382,0.18779697,0.18586843,0.37561977,0.28694326,0.58985996,0.6123193,0.27554163,0.18737523
MINAS-BR,37,0.16856918,9.82801E-4,0.20737101,0.18516801,0.18247354,0.37127176,0.28296185,0.5909112,0.61213493,0.27066618,0.18401079
MINAS-BR,38,0.1662415,9.5510983E-4,0.21012416,0.18237038,0.17995878,0.36709166,0.2798774,0.5919437,0.61315507,0.2660366,0.18132111
MINAS-BR,39,0.164051,9.302326E-4,0.21674418,0.1799071,0.17759708,0.3630496,0.27664563,0.5929105,0.6127407,0.261623,0.17865267
MINAS-BR,40,0.16182938,9.049774E-4,0.220362,0.17698355,0.17586744,0.35914126,0.2734985,0.59374607,0.61149937,0.25742558,0.17613916
MINAS-BR,41,0.1598409,8.818342E-4,0.22222222,0.17461802,0.17364801,0.3553884,0.2709259,0.59460723,0.6127628,0.25342995,0.17390883
MINAS-BR,42,0.15701596,8.5984526E-4,0.22785899,0.1715536,0.17039284,0.35170066,0.26668108,0.595435,0.61304486,0.24955018,0.1704044
MINAS-BR,43,0.15336373,8.389262E-4,0.2294463,0.16758962,0.1663872,0.3480616,0.2621956,0.5961972,0.6126311,0.24577199,0.16678926
MINAS-BR,44,0.15148947,8.1933633E-4,0.23064318,0.16561532,0.16420884,0.34455445,0.25929177,0.5969298,0.61246604,0.24216837,0.16445813
MINAS-BR,45,0.14876567,8.0128206E-4,0.23076923,0.16246675,0.16139175,0.34112808,0.25583446,0.5976057,0.6123885,0.23868874,0.16169181
MINAS-BR,46,0.14633206,7.833921E-4,0.23110066,0.15988392,0.15857181,0.3377896,0.25250295,0.5982434,0.61217386,0.23533371,0.15905389
MINAS-BR,47,0.1443058,7.6628354E-4,0.23409961,0.15755442,0.15651362,0.33453578,0.24983929,0.59882903,0.61235464,0.23209892,0.15693401
MINAS-BR,48,0.14221081,7.4990623E-4,0.23547056,0.15502451,0.15454338,0.33136106,0.2468631,0.5993465,0.6117772,0.22897817,0.15462944
MINAS-BR,49,0.14005242,7.3394494E-4,0.2374312,0.15276466,0.15217146,0.32825565,0.24387896,0.5998009,0.6110703,0.22595845,0.15233879
MINAS-BR,50,0.13776523,7.181328E-4,0.24236985,0.15031134,0.14955139,0.32519716,0.24058819,0.6002345,0.6112288,0.22301018,0.14976984
MINAS-BR,51,0.13566825,7.029877E-4,0.24710017,0.14802006,0.14715898,0.32218674,0.2374448,0.6006365,0.6110525,0.22013439,0.1473516
UnkRM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnkRM,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnkRM,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnkRM,4,0.030621987,0.030621987,0.030621987,0.030621987,0.030621987,0.030621987,0.030621987,0.030621987,0.030621987,0.030621987,0.030621987
UnkRM,5,0.12509349,0.12509349,0.12509349,0.12509349,0.12509349,0.12509349,0.12509349,0.12509349,0.12509349,0.12509349,0.12509349
UnkRM,6,0.19119942,0.19119942,0.19119942,0.19119942,0.19119942,0.19119942,0.19119942,0.19119942,0.19119942,0.19119942,0.19119942
UnkRM,7,0.2462724,0.2462724,0.2462724,0.2462724,0.2462724,0.2462724,0.2462724,0.2462724,0.2462724,0.2462724,0.2462724
UnkRM,8,0.2786977,0.2786977,0.2786977,0.2786977,0.2786977,0.2786977,0.2786977,0.2786977,0.2786977,0.2786977,0.2786977
UnkRM,9,0.3020183,0.3020183,0.3020183,0.3020183,0.3020183,0.3020183,0.3020183,0.3020183,0.3020183,0.3020183,0.3020183
UnkRM,10,0.31202796,0.31202796,0.31202796,0.31202796,0.31202796,0.31202796,0.31202796,0.31202796,0.31202796,0.31202796,0.31202796
UnkRM,11,0.32129812,0.32129812,0.32129812,0.32129812,0.32129812,0.32129812,0.32129812,0.32129812,0.32129812,0.32129812,0.32129812
UnkRM,12,0.3303151,0.3303151,0.3303151,0.3303151,0.3303151,0.3303151,0.3303151,0.3303151,0.3303151,0.3303151,0.3303151
UnkRM,13,0.3468129,0.3468129,0.3468129,0.3468129,0.3468129,0.3468129,0.3468129,0.3468129,0.3468129,0.3468129,0.3468129
UnkRM,14,0.3523235,0.3523235,0.3523235,0.3523235,0.3523235,0.3523235,0.3523235,0.3523235,0.3523235,0.3523235,0.3523235
UnkRM,15,0.36313218,0.36313218,0.36313218,0.36313218,0.36313218,0.36313218,0.36313218,0.36313218,0.36313218,0.36313218,0.36313218
