shortTermMemoryLimit,windowsSize,threshold,k_ini,F1M,precision,recall,subsetAccuracy,NP,unk,unkRemoved
1.0,200,1.1,0.01,1.0,1.0,1.0,1.0,0,9,0
1.0,200,1.1,0.05,1.0,1.0,1.0,1.0,0,9,0
1.0,200,1.1,0.1,1.0,1.0,1.0,1.0,0,8,0
1.0,200,1.1,0.25,1.0,1.0,1.0,1.0,0,31,0
1.0,500,1.1,0.01,1.0,1.0,1.0,1.0,0,9,0
1.0,500,1.1,0.05,1.0,1.0,1.0,1.0,0,8,0
1.0,500,1.1,0.1,1.0,1.0,1.0,1.0,0,8,0
1.0,500,1.1,0.25,1.0,1.0,1.0,1.0,0,31,0
1.0,1000,1.1,0.01,1.0,1.0,1.0,1.0,0,12,0
1.0,1000,1.1,0.05,1.0,1.0,1.0,1.0,0,8,0
1.0,1000,1.1,0.1,1.0,1.0,1.0,1.0,0,10,0
1.0,1000,1.1,0.25,1.0,1.0,1.0,1.0,0,30,0
1.0,2000,1.1,0.01,1.0,1.0,1.0,1.0,0,9,0
1.0,2000,1.1,0.05,1.0,1.0,1.0,1.0,0,10,0
1.0,2000,1.1,0.1,1.0,1.0,1.0,1.0,0,11,0
1.0,2000,1.1,0.25,1.0,1.0,1.0,1.0,0,23,0
