Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,37,0.77886844,0.42770758,0.007628498,0.87471414,0.7380126,0.84502643,0.81526685,0.9400772,0.90838563,0.7674318,0.73946434
MINAS-BR,38,0.7719008,0.41833267,0.008205268,0.8692077,0.7308281,0.8420871,0.8094712,0.9373008,0.9046717,0.76443374,0.73239934
MINAS-BR,39,0.7655436,0.40997005,0.008010858,0.8640993,0.7243368,0.83909386,0.67192787,0.93450683,0.74590504,0.7613592,0.61130047
MINAS-BR,40,0.7593071,0.40235832,0.007846594,0.85936654,0.71766984,0.83602536,0.70035315,0.93172663,0.82856596,0.75815254,0.6065026
MINAS-BR,41,0.7530341,0.39507362,0.0076956875,0.85433465,0.71108097,0.83289367,0.70275587,0.92895514,0.8483349,0.7548374,0.5998229
MINAS-BR,42,0.74689853,0.38777864,0.007546278,0.8494123,0.70458317,0.829706,0.705063,0.92618996,0.8619714,0.7514276,0.5964826
MINAS-BR,43,0.74100643,0.38095498,0.0074079125,0.8446669,0.6983624,0.8264836,0.70301247,0.9234351,0.86479986,0.74795574,0.59221953
MINAS-BR,44,0.73512363,0.37434688,0.0072747245,0.8398779,0.6921505,0.82323253,0.7013326,0.92069113,0.8669818,0.7444316,0.58882856
MINAS-BR,45,0.73051834,0.36892164,0.0071037035,0.8374986,0.6865489,0.8200134,0.73284,0.91804636,0.8850652,0.7408971,0.6252937
MINAS-BR,46,0.7248384,0.36173993,0.006979152,0.8338891,0.6800033,0.81676185,0.7372489,0.91542566,0.88511485,0.7372965,0.6317155
MINAS-BR,47,0.71872646,0.35483548,0.0069230096,0.8294378,0.6732519,0.8134677,0.736577,0.9128083,0.8831924,0.7336273,0.6317094
MINAS-BR,48,0.7130206,0.34810776,0.0068330728,0.8253639,0.66688186,0.8101537,0.73539984,0.91020495,0.8807379,0.72991973,0.63123447
MINAS-BR,49,0.70689243,0.34169158,0.00686685,0.8205822,0.66013145,0.80680484,0.7321205,0.90759474,0.87680703,0.7261632,0.62842137
MINAS-BR,50,0.70103884,0.3355667,0.0068523637,0.81602967,0.65369475,0.8034388,0.7287612,0.90498906,0.8727608,0.7223794,0.6255497
UnkRM,1,4.4923628E-4,4.4923628E-4,4.4923628E-4,4.4923628E-4,4.4923628E-4,4.4923628E-4,4.4923628E-4,4.4923628E-4,4.4923628E-4,4.4923628E-4,4.4923628E-4
UnkRM,2,6.8027206E-4,6.8027206E-4,6.8027206E-4,6.8027206E-4,6.8027206E-4,6.8027206E-4,6.8027206E-4,6.8027206E-4,6.8027206E-4,6.8027206E-4,6.8027206E-4
UnkRM,3,7.329229E-4,7.329229E-4,7.329229E-4,7.329229E-4,7.329229E-4,7.329229E-4,7.329229E-4,7.329229E-4,7.329229E-4,7.329229E-4,7.329229E-4
