timestamp,evaluationWindow,nExamples,radius,silhouette,threshold,averOut,label
33456,18,48.0,0.04934440267341395,1.0,0.0,0.9770201445437051,NP1
33456,18,129.0,0.037154190456707085,1.0,0.0,0.9839612973558624,NP2
33456,18,30.0,0.05087913885474937,1.0,0.0,0.9768500065059913,NP3
33456,18,28.0,0.05334731615515347,1.0,0.0,0.9763036266140382,NP4
33456,18,51.0,0.045693462045931055,1.0,0.0,0.9789326541140552,NP5
33456,18,37.0,0.04772025361452341,1.0,0.0,0.9781948861049712,NP6
33456,18,15.0,0.045960237161561224,1.0,0.0,0.9786671638192549,NP7
33456,18,21.0,0.05068898435879735,1.0,0.0,0.9767413182710933,NP8
33456,18,23.0,0.055681555402650754,1.0,0.0,0.9746005154019423,NP9
33456,18,44.0,0.052135833194015865,1.0,0.0,0.9762356822718686,NP10
33456,18,27.0,0.04654546815676652,1.0,0.0,0.9792799008282402,NP11
33456,18,10.0,0.034345883823727025,1.0,0.0,0.985706002114307,NP12
33456,18,43.0,0.05181716887911652,1.0,0.0,0.9767871090429939,NP13
33456,18,38.0,0.05172345512874554,1.0,0.0,0.9759478049669736,NP14
33456,18,33.0,0.05065074106097285,1.0,0.0,0.9769442639950984,NP15
33456,18,51.0,0.060413147440500574,1.0,0.0,0.9720826496144475,NP16
33456,18,12.0,0.051871300279482724,1.0,0.0,0.9771595790190913,NP17
33456,18,23.0,0.06490913666195183,1.0,0.0,0.9700742637165851,NP18
33456,18,29.0,0.05013392633313728,1.0,0.0,0.9767448890524467,NP19
33456,18,29.0,0.05345576111290736,1.0,0.0,0.9766994411806464,NP20
33456,18,34.0,0.0659754654070425,1.0,0.0,0.9698516733146166,NP21
33456,18,17.0,0.04363157931279535,1.0,0.0,0.9812260460988668,NP22
33456,18,36.0,0.057939569433410214,1.0,0.0,0.9738729096658647,NP23
33456,18,4.0,0.050081981926116834,1.0,0.0,0.9776795644334038,NP24
33456,18,23.0,0.049732795112096,1.0,0.0,0.9769993914007479,NP25
33456,18,41.0,0.04508291438842649,1.0,0.0,0.9792510768969355,NP26
33456,18,17.0,0.06583284559684927,1.0,0.0,0.9702647980521332,NP27
33456,18,19.0,0.061927332820135704,1.0,0.0,0.9716090838253397,NP28
33456,18,19.0,0.04371025686215395,1.0,0.0,0.9791405407693938,NP29
33456,18,12.0,0.030640576509554936,1.0,0.0,0.9860228017909805,NP30
33456,18,56.0,0.04827032512567015,1.0,0.0,0.9773934880694402,NP31
79902,44,38.0,0.06212395064326615,1.0,0.0,0.9716466370751385,NP32
79902,44,67.0,0.04656938789772392,1.0,0.0,0.9787383382686955,NP33
79902,44,44.0,0.059787608010066516,1.0,0.0,0.9728218147494637,NP34
79902,44,58.0,0.05653236111577763,1.0,0.0,0.9742865147938307,NP35
79902,44,16.0,0.06391497257023145,1.0,0.0,0.9708716776971505,NP36
79902,44,171.0,0.04027944758908318,1.0,0.0,0.9822661791371947,NP37
79902,44,21.0,0.04841312226621377,1.0,0.0,0.9794870691479305,NP38
79902,44,34.0,0.06794943141062385,1.0,0.0,0.9692327568049292,NP39
79902,44,26.0,0.04689682723878843,1.0,0.0,0.9784776084072019,NP40
79902,44,39.0,0.049434455611801334,1.0,0.0,0.9777050753305389,NP41
79902,44,38.0,0.05772906679179209,1.0,0.0,0.973321568385891,NP42
79902,44,35.0,0.056561396402580545,1.0,0.0,0.9745020014606102,NP43
79902,44,45.0,0.04411107198810065,1.0,0.0,0.9803046107387469,NP44
79902,44,26.0,0.07049455101116894,1.0,0.0,0.96784430545162,NP45
79902,44,77.0,0.05864058961663452,1.0,0.0,0.9730005461950467,NP46
79902,44,18.0,0.04781277044335284,1.0,0.0,0.9783085625337686,NP47
79902,44,81.0,0.04446396746813274,1.0,0.0,0.9790316812590963,NP48
79902,44,15.0,0.048464373031652894,1.0,0.0,0.9774592230172753,NP49
79902,44,14.0,0.048073741393157385,1.0,0.0,0.978792977884936,NP50
79902,44,36.0,0.05264354627015046,1.0,0.0,0.9764588726985086,NP51
79902,44,48.0,0.061968863150347865,1.0,0.0,0.9716208352946808,NP52
79902,44,22.0,0.05680577672294822,1.0,0.0,0.9747342328578269,NP53
79902,44,29.0,0.06727024121619993,1.0,0.0,0.9689977841774512,NP54
