timestamp,evaluationWindow,nExamples,radius,silhouette,threshold,averOut,label
294,4,6.0,0.02566415806134506,1.0,0.0,0.9884369792488171,NP1
447,7,4.0,0.05328071468769506,0.014453403538574999,0.0,0.9764937431401209,NP2
447,7,9.0,0.012902916106564808,-1.0,1.547847298106748E-7,0.0,NP2
447,7,4.0,0.044216690537598156,1.0,0.0,0.981699121860768,NP3
490,8,4.0,0.03308468862009729,1.0,0.0,0.9842046603572616,NP4
537,8,4.0,0.04775244177949019,1.0,0.0,0.97868846219617,NP5
558,9,4.0,0.0322478181078908,1.0,0.0,0.9845856263809821,NP6
558,9,4.0,0.019329296747366168,1.0,0.0,0.9915256750652364,NP7
580,9,4.0,0.04855954725930618,0.00966854081724911,0.0,0.9769596373428527,NP8
580,9,10.0,0.009754675992019008,-1.0,0.0,0.0,NP8
580,9,4.0,0.030687265218771454,1.0,0.0,0.9869923219434121,NP9
602,9,4.0,0.04112667178433617,1.0,0.0,0.9809151091326848,NP10
602,9,7.0,0.05894554238898115,1.0,0.0,0.9718589967420792,NP11
628,10,5.0,0.04991044824743713,1.0,0.0,0.9786244609402821,NP12
650,10,5.0,0.0832637318131643,1.0,0.0,0.967970734361226,NP13
671,11,4.0,0.06952456047386628,1.0,0.0,0.9658842964144918,NP14
671,11,4.0,0.06158583430349706,1.0,0.0,0.9699130133433713,NP15
696,11,5.0,0.06324727051334463,1.0,0.0,0.9698114339011603,NP16
722,11,4.0,0.08902748375111197,1.0,0.0,0.9590919994811697,NP17
722,11,4.0,0.09716883195193937,0.18669216333776556,0.0,0.9536167031490832,NP18
722,11,13.0,0.03665075968788692,-1.0,0.0,0.0,NP18
756,12,5.0,0.092116347652389,1.0,0.0,0.9644155003723724,NP19
756,12,4.0,0.060526571594734596,1.0,0.0,0.9716578885185061,NP20
816,13,5.0,0.07647698530239334,0.08686501789207748,0.0,0.9667894319071536,NP21
816,13,10.0,0.02560832788479163,-1.0,5.96858798889238E-11,0.0,NP21
841,13,4.0,0.07125373019953192,1.0,0.0,0.9677134389248908,NP22
863,14,4.0,0.07356355238194816,1.0,0.0,0.9652553840252676,NP23
901,14,5.0,0.10484570818408018,1.0,0.0,0.9544736801878612,NP24
983,16,5.0,0.03990935980598079,1.0,0.0,0.9819827061028743,NP25
983,16,4.0,0.04041852469649761,1.0,0.0,0.9812048113611254,NP26
1098,18,6.0,0.09763659035303988,1.0,0.0,0.9576171853988275,NP27
1185,19,4.0,0.08034408715809922,1.0,0.0,0.9656482856460624,NP28
1341,21,5.0,0.0564379753813893,1.0,0.0,0.9728211281300465,NP29
1695,27,7.0,0.0719104645968455,1.0,0.0,0.9668155119877282,NP30
1695,27,5.0,0.045363311580658205,1.0,0.0,0.9791338271923488,NP31
2148,35,6.0,0.06808993841252592,1.0,0.0,0.9676284509986228,NP32
2148,35,4.0,0.04005470237044965,1.0,0.0,0.9814817912250331,NP33
2348,38,4.0,0.02357949612977069,1.0,0.0,0.9892271202385723,NP34
2348,38,5.0,0.08866714516351903,1.0,0.0,0.9577497925237657,NP35
2348,38,4.0,0.06243044438988714,1.0,0.0,0.9693169094332029,NP36
