Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
294,NP1,,,
447,NP2,,,
447,NP3,,,
490,NP4,,,
537,NP5,,,
558,NP6,,,
558,NP7,,,
580,NP8,,,
580,NP9,,,
602,NP10,,,
602,NP11,,,
628,NP12,,,
650,NP13,,,
671,NP14,,,
671,NP15,,,
696,NP16,,,
722,NP17,,,
722,NP18,,,
756,NP19,,,
756,NP20,,,
816,NP21,,,
841,NP22,,,
863,NP23,,,
901,NP24,,,
983,NP25,,,
983,NP26,,,
1098,NP27,,,
1185,NP28,,,
1341,NP29,,,
1695,NP30,,,
1695,NP31,,,
2148,NP32,,,
2148,NP33,,,
2348,NP34,,,
2348,NP35,,,
2348,NP36,,,
