shortTermMemoryLimit,windowsSize,threshold,k_ini,F1M,precision,recall,subsetAccuracy,NP,unk,unkRemoved
0.1,200,1.1,0.01,1.0,0.9705414,0.8076923,0.9705414,1,5,0
0.1,200,1.1,0.05,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.1,200,1.1,0.1,1.0,0.98164207,0.84615386,0.98164207,1,4,0
0.1,200,1.1,0.25,1.0,0.96771115,0.84615386,0.96771115,1,13,0
0.1,500,1.1,0.01,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.1,500,1.1,0.05,1.0,0.98863506,0.88461536,0.98863506,1,5,0
0.1,500,1.1,0.1,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.1,500,1.1,0.25,1.0,1.0,1.0,1.0,0,10,0
0.1,1000,1.1,0.01,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.1,1000,1.1,0.05,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.1,1000,1.1,0.1,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.1,1000,1.1,0.25,1.0,0.99262816,0.9230769,0.99262816,1,10,0
0.1,2000,1.1,0.01,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.1,2000,1.1,0.05,1.0,0.9847889,0.84615386,0.9847889,1,5,0
0.1,2000,1.1,0.1,1.0,0.98863506,0.88461536,0.98863506,1,5,0
0.1,2000,1.1,0.25,1.0,1.0,1.0,1.0,0,10,0
0.25,200,1.1,0.01,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.25,200,1.1,0.05,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.25,200,1.1,0.1,1.0,0.9796989,0.84615386,0.9796989,1,6,0
0.25,200,1.1,0.25,0.9230769,0.8804848,0.7307692,0.8804848,1,11,0
0.25,500,1.1,0.01,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.25,500,1.1,0.05,1.0,0.98804545,0.88461536,0.98804545,1,6,0
0.25,500,1.1,0.1,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.25,500,1.1,0.25,1.0,1.0,1.0,1.0,0,9,0
0.25,1000,1.1,0.01,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.25,1000,1.1,0.05,1.0,0.9705414,0.8076923,0.9705414,1,5,0
0.25,1000,1.1,0.1,1.0,0.9796989,0.84615386,0.9796989,1,6,0
0.25,1000,1.1,0.25,1.0,0.9689485,0.8076923,0.9689485,1,6,0
0.25,2000,1.1,0.01,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.25,2000,1.1,0.05,1.0,0.98164207,0.84615386,0.98164207,1,4,0
0.25,2000,1.1,0.1,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.25,2000,1.1,0.25,1.0,0.97237957,0.84615386,0.97237957,1,11,0
0.5,200,1.1,0.01,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.5,200,1.1,0.05,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.5,200,1.1,0.1,1.0,0.9705414,0.8076923,0.9705414,1,5,0
0.5,200,1.1,0.25,1.0,1.0,1.0,1.0,0,14,0
0.5,500,1.1,0.01,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.5,500,1.1,0.05,1.0,0.9938147,0.9230769,0.9938147,1,7,0
0.5,500,1.1,0.1,1.0,0.98804545,0.88461536,0.98804545,1,6,0
0.5,500,1.1,0.25,1.0,1.0,1.0,1.0,0,12,0
0.5,1000,1.1,0.01,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.5,1000,1.1,0.05,1.0,0.98863506,0.88461536,0.98863506,1,5,0
0.5,1000,1.1,0.1,1.0,0.98863506,0.88461536,0.98863506,1,5,0
0.5,1000,1.1,0.25,1.0,0.9796989,0.84615386,0.9796989,1,6,0
0.5,2000,1.1,0.01,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.5,2000,1.1,0.05,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.5,2000,1.1,0.1,1.0,0.9807195,0.84615386,0.9807195,1,5,0
0.5,2000,1.1,0.25,0.9230769,0.9161482,0.84615386,0.9161482,1,9,0
0.75,200,1.1,0.01,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.75,200,1.1,0.05,1.0,0.98164207,0.84615386,0.98164207,1,4,0
0.75,200,1.1,0.1,1.0,0.9705414,0.8076923,0.9705414,1,5,0
0.75,200,1.1,0.25,1.0,0.97423923,0.84615386,0.97423923,1,10,0
0.75,500,1.1,0.01,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.75,500,1.1,0.05,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.75,500,1.1,0.1,1.0,0.98863506,0.88461536,0.98863506,1,5,0
0.75,500,1.1,0.25,1.0,0.97237957,0.84615386,0.97237957,1,11,0
0.75,1000,1.1,0.01,1.0,0.97197825,0.8076923,0.97197825,1,4,0
0.75,1000,1.1,0.05,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.75,1000,1.1,0.1,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.75,1000,1.1,0.25,1.0,1.0,1.0,1.0,0,11,0
0.75,2000,1.1,0.01,1.0,0.97328085,0.8076923,0.97328085,1,3,0
0.75,2000,1.1,0.05,1.0,0.9705414,0.8076923,0.9705414,1,5,0
0.75,2000,1.1,0.1,1.0,0.9796989,0.84615386,0.9796989,1,6,0
0.75,2000,1.1,0.25,1.0,0.98863506,0.88461536,0.98863506,1,5,0
1.0,200,1.1,0.01,1.0,1.0,1.0,1.0,0,9,0
1.0,200,1.1,0.05,1.0,1.0,1.0,1.0,0,9,0
1.0,200,1.1,0.1,1.0,1.0,1.0,1.0,0,8,0
1.0,200,1.1,0.25,1.0,1.0,1.0,1.0,0,16,0
1.0,500,1.1,0.01,1.0,1.0,1.0,1.0,0,10,0
1.0,500,1.1,0.05,1.0,1.0,1.0,1.0,0,9,0
1.0,500,1.1,0.1,1.0,1.0,1.0,1.0,0,9,0
1.0,500,1.1,0.25,1.0,1.0,1.0,1.0,0,13,0
1.0,1000,1.1,0.01,1.0,1.0,1.0,1.0,0,10,0
1.0,1000,1.1,0.05,1.0,1.0,1.0,1.0,0,9,0
1.0,1000,1.1,0.1,1.0,1.0,1.0,1.0,0,8,0
1.0,1000,1.1,0.25,0.9230769,0.9230769,0.9230769,0.9230769,0,16,0
1.0,2000,1.1,0.01,1.0,1.0,1.0,1.0,0,9,0
1.0,2000,1.1,0.05,1.0,1.0,1.0,1.0,0,9,0
1.0,2000,1.1,0.1,1.0,1.0,1.0,1.0,0,10,0
1.0,2000,1.1,0.25,1.0,1.0,1.0,1.0,0,12,0
